"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","258.40","247.21","278.73","247.21","","4.53%"
"03/01/2024","247.21","204.02","247.83","202.88","","21.17%"
"02/01/2024","204.02","218.67","227.65","197.85","","-6.70%"
"01/01/2024","218.67","243.31","244.59","215.08","","-10.13%"
"12/01/2023","243.31","241.18","254.06","217.98","","0.88%"
"11/01/2023","241.18","217.52","242.19","207.53","","10.88%"
"10/01/2023","217.52","206.79","233.88","197.04","","5.19%"
"09/01/2023","206.79","227.38","232.12","204.87","","-9.06%"
"08/01/2023","227.38","242.04","242.04","212.67","","-6.06%"
"07/01/2023","242.04","233.92","253.71","224.13","","3.47%"
"06/01/2023","233.92","240.77","251.44","224.24","","-2.85%"
"05/01/2023","240.77","260.64","284.46","236.43","","-7.62%"
"04/01/2023","260.64","256.18","281.49","254.98","","1.74%"
"03/01/2023","256.18","217.34","258.81","210.09","","17.87%"
"02/01/2023","217.34","256.51","264.29","210.67","","-15.27%"
"01/01/2023","256.51","229.75","267.35","229.75","","11.65%"
"12/01/2022","229.75","229.33","240.02","218.06","","0.18%"
"11/01/2022","229.33","195.73","230.85","179.42","","17.17%"
"10/01/2022","195.73","194.33","211.89","180.66","","0.72%"
"09/01/2022","194.33","186.80","204.22","172.86","","4.03%"
"08/01/2022","186.80","207.34","215.93","186.61","","-9.91%"
"07/01/2022","207.34","220.78","228.63","192.45","","-6.09%"
"06/01/2022","220.78","254.45","269.64","220.31","","-13.23%"
"05/01/2022","254.45","282.37","289.43","238.55","","-9.89%"
"04/01/2022","282.37","311.70","338.04","278.55","","-9.41%"
"03/01/2022","311.70","280.02","327.03","280.02","","11.31%"
"02/01/2022","280.02","247.12","290.09","243.12","","13.31%"
"01/01/2022","247.12","258.87","269.55","236.37","","-4.54%"
"12/01/2021","258.87","254.61","260.34","230.48","","1.67%"
"11/01/2021","254.61","248.89","280.50","244.83","","2.30%"
"10/01/2021","248.89","229.47","267.82","226.26","","8.46%"
"09/01/2021","229.47","253.83","260.09","224.28","","-9.60%"
"08/01/2021","253.83","273.72","281.15","238.18","","-7.27%"
"07/01/2021","273.72","267.00","277.69","256.70","","2.52%"
"06/01/2021","267.00","318.83","324.59","261.00","","-16.26%"
"05/01/2021","318.83","274.99","327.45","274.99","","15.94%"
"04/01/2021","274.99","264.83","299.09","264.83","","3.84%"
"03/01/2021","264.83","250.16","284.17","247.99","","5.86%"
"02/01/2021","250.16","283.63","300.30","249.12","","-11.80%"
"01/01/2021","283.63","299.64","325.26","273.12","","-5.34%"
"12/01/2020","299.64","283.67","315.87","283.67","","5.63%"
"11/01/2020","283.67","314.62","349.98","274.27","","-9.84%"
"10/01/2020","314.62","326.96","346.54","300.81","","-3.77%"
"09/01/2020","326.96","357.92","362.73","306.21","","-7.09%"
"08/01/2020","351.90","350.70","373.63","318.84","","0.34%"
"07/01/2020","350.70","294.76","364.23","285.36","","18.98%"
"06/01/2020","294.76","275.41","295.42","249.96","","7.84%"
"05/01/2020","273.33","260.59","303.02","259.55","","2.22%"
"04/01/2020","267.40","185.97","285.61","184.07","","43.73%"
"03/01/2020","186.04","221.17","245.69","142.51","","-13.69%"
"02/01/2020","215.54","233.01","260.59","205.60","","-8.14%"
"01/01/2020","234.63","243.97","245.54","223.18","","-3.02%"
"12/01/2019","241.94","214.36","245.16","213.61","","12.64%"
"11/01/2019","214.80","217.82","219.64","202.69","","-2.44%"
"10/01/2019","220.17","201.26","220.57","198.88","","8.31%"
"09/01/2019","203.27","231.06","235.83","201.53","","-10.94%"
"08/01/2019","228.24","195.23","237.34","194.82","","14.46%"
"07/01/2019","199.40","189.12","215.56","186.13","","2.72%"
"06/01/2019","194.12","159.59","198.36","159.51","","23.58%"
"05/01/2019","157.08","156.31","157.97","146.51","","0.22%"
"04/01/2019","156.74","170.41","174.55","155.03","","-7.77%"
"03/01/2019","169.95","166.40","178.52","161.98","","1.00%"
"02/01/2019","168.27","170.01","180.22","162.99","","-1.24%"
"01/01/2019","170.39","160.38","170.43","150.02","","6.11%"
"12/01/2018","160.58","147.80","164.04","145.66","","10.71%"
"11/01/2018","145.04","145.86","152.42","137.25","","1.55%"
"10/01/2018","142.82","141.20","158.93","139.38","","1.24%"
"09/01/2018","141.07","140.34","148.13","131.12","","-1.51%"
"08/01/2018","143.23","166.36","166.86","138.96","","-13.90%"
"07/01/2018","166.36","173.23","182.56","164.70","","-4.68%"
"06/01/2018","174.52","179.60","182.24","169.42","","-3.07%"
"05/01/2018","180.04","177.45","183.69","175.96","","0.88%"
"04/01/2018","178.47","177.12","186.41","173.56","","1.74%"
"03/01/2018","175.41","170.43","179.75","168.45","","2.06%"
"02/01/2018","171.87","194.87","197.91","170.89","","-12.51%"
"01/01/2018","196.44","194.47","209.36","191.23","","2.15%"
"12/01/2017","192.31","185.34","193.73","173.71","","3.78%"
"11/01/2017","185.30","187.79","191.08","184.14","","-0.45%"
"10/01/2017","186.14","195.61","205.35","184.81","","-5.27%"
"09/01/2017","196.50","214.12","220.22","196.02","","-7.55%"
"08/01/2017","212.54","195.41","213.86","189.83","","8.36%"
"07/01/2017","196.15","181.99","197.65","177.41","","5.62%"
"06/01/2017","185.71","189.65","204.55","183.80","","-3.53%"
"05/01/2017","192.51","191.93","203.61","180.03","","0.30%"
"04/01/2017","191.93","197.23","216.56","185.45","","-2.69%"
"03/01/2017","197.23","192.89","205.42","181.14","","0.58%"
"02/01/2017","196.09","204.41","222.98","194.01","","-5.48%"
"01/01/2017","207.45","184.03","213.65","183.90","","13.79%"
"12/01/2016","182.31","175.79","194.75","160.25","","2.38%"
"11/01/2016","178.08","216.85","226.27","171.76","","-16.11%"
"10/01/2016","212.27","230.68","232.12","195.49","","-8.16%"
"09/01/2016","231.14","220.32","250.91","219.35","","4.27%"
"08/01/2016","221.68","274.85","286.05","221.25","","-19.19%"
"07/01/2016","274.32","253.03","276.33","246.78","","11.24%"
"06/01/2016","246.60","203.01","247.61","198.86","","22.49%"
"05/01/2016","201.32","235.42","236.23","194.64","","-13.77%"
"04/01/2016","233.46","173.59","233.46","172.02","","30.98%"
"03/01/2016","178.24","168.83","189.13","159.64","","6.42%"
"02/01/2016","167.49","122.15","172.71","120.19","","38.65%"
"01/01/2016","120.80","113.65","123.81","99.19","","8.65%"
"12/01/2015","111.18","111.09","121.51","105.73","","0.35%"
"11/01/2015","110.79","122.13","125.23","102.96","","-9.71%"
"10/01/2015","122.70","109.58","139.55","105.44","","13.17%"
"09/01/2015","108.42","116.00","118.47","101.28","","-5.75%"
"08/01/2015","115.03","111.04","133.11","104.66","","2.95%"
"07/01/2015","111.73","149.23","153.17","107.76","","-25.38%"
"06/01/2015","149.74","168.36","169.34","148.17","","-10.24%"
"05/01/2015","166.82","178.15","186.94","162.73","","-7.31%"
"04/01/2015","179.98","161.24","187.17","161.24","","12.77%"
"03/01/2015","159.60","191.54","192.55","154.46","","-16.94%"
"02/01/2015","192.14","198.13","205.92","181.72","","-4.80%"
"01/01/2015","201.82","160.66","211.23","160.02","","23.04%"
"12/01/2014","164.03","166.32","179.60","150.41","","0.76%"
"11/01/2014","162.79","157.31","181.33","146.01","","4.21%"
"10/01/2014","156.22","195.58","202.23","152.17","","-20.12%"
"09/01/2014","195.58","240.47","240.47","194.80","","-20.34%"
"08/01/2014","245.53","236.47","251.83","231.34","","4.98%"
"07/01/2014","233.89","240.68","251.76","233.31","","-2.74%"
"06/01/2014","240.47","205.50","242.53","202.24","","16.65%"
"05/01/2014","206.15","223.92","229.91","201.65","","-8.65%"
"04/01/2014","225.67","220.52","236.20","215.28","","2.97%"
"03/01/2014","219.17","244.24","261.36","216.72","","-7.82%"
"02/01/2014","237.77","219.38","248.43","211.20","","9.69%"
"01/01/2014","216.77","201.81","224.33","197.65","","9.65%"
