"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","1,975.44","1,887.67","2,067.71","1,887.67","","5.80%"
"03/01/2024","1,867.09","1,597.47","1,867.09","1,597.47","","19.78%"
"02/01/2024","1,558.81","1,687.67","1,723.68","1,518.32","","-7.64%"
"01/01/2024","1,687.67","1,875.30","1,875.30","1,637.21","","-11.58%"
"12/01/2023","1,908.73","1,898.11","1,958.20","1,733.25","","2.10%"
"11/01/2023","1,869.52","1,673.84","1,869.52","1,596.10","","10.91%"
"10/01/2023","1,685.67","1,525.52","1,772.72","1,512.48","","6.65%"
"09/01/2023","1,580.50","1,714.49","1,760.11","1,575.46","","-8.37%"
"08/01/2023","1,724.81","1,871.53","1,871.53","1,622.07","","-6.41%"
"07/01/2023","1,842.95","1,830.50","1,962.74","1,767.56","","1.66%"
"06/01/2023","1,812.93","1,902.36","1,906.43","1,776.07","","-1.58%"
"05/01/2023","1,842.05","2,019.64","2,163.38","1,819.78","","-9.20%"
"04/01/2023","2,028.66","1,963.51","2,141.13","1,963.51","","4.57%"
"03/01/2023","1,940.05","1,674.68","1,941.54","1,599.11","","18.12%"
"02/01/2023","1,642.39","1,984.00","1,984.00","1,620.27","","-15.79%"
"01/01/2023","1,950.44","1,809.71","2,015.77","1,809.71","","11.75%"
"12/01/2022","1,745.29","1,770.66","1,780.54","1,689.47","","2.97%"
"11/01/2022","1,695.02","1,463.93","1,704.71","1,336.39","","16.91%"
"10/01/2022","1,449.83","1,490.70","1,538.14","1,371.87","","-0.15%"
"09/01/2022","1,451.96","1,390.88","1,521.58","1,326.79","","0.86%"
"08/01/2022","1,439.61","1,562.09","1,627.17","1,439.61","","-7.87%"
"07/01/2022","1,562.57","1,713.71","1,764.24","1,475.32","","-8.87%"
"06/01/2022","1,714.73","2,002.76","2,065.42","1,714.73","","-14.98%"
"05/01/2022","2,016.95","2,190.89","2,228.63","1,939.82","","-9.49%"
"04/01/2022","2,228.35","2,476.04","2,549.07","2,181.48","","-8.06%"
"03/01/2022","2,423.82","2,241.51","2,448.65","2,235.27","","11.63%"
"02/01/2022","2,171.33","1,956.13","2,229.74","1,945.13","","12.46%"
