"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","133.45","129.60","143.83","127.80","","5.08%"
"03/01/2024","127.00","105.95","127.25","104.94","","20.53%"
"02/01/2024","105.37","114.57","117.72","102.60","","-7.20%"
"01/01/2024","113.54","125.28","126.30","111.23","","-9.67%"
"12/01/2023","125.69","123.13","130.92","113.44","","1.90%"
"11/01/2023","123.35","111.70","123.50","106.70","","10.88%"
"10/01/2023","111.25","105.86","119.32","102.39","","3.51%"
"09/01/2023","107.48","119.40","120.27","106.12","","-8.81%"
"08/01/2023","117.86","123.74","124.43","110.60","","-7.24%"
"07/01/2023","127.06","120.59","130.77","115.03","","5.86%"
"06/01/2023","120.03","123.03","128.24","115.24","","-1.93%"
"05/01/2023","122.39","135.67","143.16","119.95","","-8.65%"
"04/01/2023","133.98","131.59","145.15","131.01","","1.93%"
"03/01/2023","131.44","115.45","132.60","110.09","","15.58%"
"02/01/2023","113.72","132.98","137.16","110.36","","-14.82%"
"01/01/2023","133.51","122.60","139.37","122.49","","10.47%"
"12/01/2022","120.86","123.04","126.12","115.17","","0.11%"
"11/01/2022","120.73","106.29","121.27","96.36","","16.86%"
"10/01/2022","103.31","102.67","110.47","95.32","","2.38%"
"09/01/2022","100.91","95.98","107.67","90.08","","2.92%"
"08/01/2022","98.05","109.22","113.60","98.05","","-9.82%"
"07/01/2022","108.73","109.63","114.76","99.81","","-2.15%"
"06/01/2022","111.12","129.65","137.40","110.78","","-13.70%"
"05/01/2022","128.76","139.54","147.23","119.77","","-9.71%"
"04/01/2022","142.61","157.74","171.43","140.25","","-9.98%"
"03/01/2022","158.42","144.12","165.55","144.07","","10.93%"
"02/01/2022","142.81","126.16","146.99","123.21","","14.24%"
"01/01/2022","125.01","130.81","137.43","119.01","","-5.62%"
"12/01/2021","132.45","131.44","133.58","117.26","","1.71%"
"11/01/2021","130.22","129.55","144.64","127.81","","0.47%"
"10/01/2021","129.61","119.56","138.49","116.67","","8.95%"
"09/01/2021","118.96","134.67","137.25","116.72","","-11.26%"
"08/01/2021","134.06","143.65","146.48","124.91","","-6.75%"
"07/01/2021","143.77","142.96","145.87","132.83","","1.84%"
"06/01/2021","141.17","165.61","167.09","138.01","","-13.90%"
"05/01/2021","163.96","144.79","166.79","144.51","","15.36%"
"04/01/2021","142.13","136.21","151.77","136.16","","5.76%"
"03/01/2021","134.39","132.89","145.35","128.08","","2.75%"
"02/01/2021","130.79","144.02","149.69","129.72","","-5.63%"
"01/01/2021","138.59","151.32","156.47","130.83","","-3.88%"
"12/01/2020","144.19","138.65","149.79","135.26","","7.03%"
"11/01/2020","134.72","142.08","156.21","129.15","","-3.99%"
"10/01/2020","140.32","144.27","152.25","134.56","","-1.93%"
"09/01/2020","143.08","156.83","159.26","134.18","","-7.22%"
"08/01/2020","154.21","154.75","165.36","140.82","","-0.21%"
"07/01/2020","154.53","128.95","160.56","124.89","","19.64%"
"06/01/2020","129.16","121.07","129.48","109.15","","7.54%"
"05/01/2020","120.10","110.37","131.01","110.37","","5.65%"
"04/01/2020","113.68","78.28","120.28","77.88","","43.99%"
"03/01/2020","78.95","95.27","105.21","62.72","","-16.14%"
"02/01/2020","94.15","103.29","113.73","90.11","","-9.42%"
"01/01/2020","103.94","107.86","108.35","99.42","","-2.79%"
"12/01/2019","106.92","95.29","108.25","94.94","","11.93%"
"11/01/2019","95.52","94.95","96.38","90.72","","-0.10%"
"10/01/2019","95.62","87.85","95.83","86.84","","8.17%"
"09/01/2019","88.40","99.71","101.96","87.85","","-10.69%"
"08/01/2019","98.98","86.35","102.29","86.01","","12.94%"
"07/01/2019","87.64","82.81","93.27","80.64","","4.17%"
"06/01/2019","84.13","70.92","85.93","70.83","","20.15%"
"05/01/2019","70.02","70.96","71.52","65.85","","-1.60%"
"04/01/2019","71.16","76.62","78.14","70.46","","-6.81%"
"03/01/2019","76.36","75.20","79.89","72.66","","0.67%"
"02/01/2019","75.85","76.09","80.76","73.41","","-0.59%"
"01/01/2019","76.30","70.44","76.32","67.91","","7.98%"
"12/01/2018","70.66","65.36","72.22","64.89","","9.62%"
"11/01/2018","64.46","65.17","68.21","61.35","","0.28%"
"10/01/2018","64.28","65.09","71.64","63.76","","-1.38%"
"09/01/2018","65.18","65.33","67.85","60.59","","-1.60%"
"08/01/2018","66.24","76.84","76.88","64.24","","-14.31%"
"07/01/2018","77.30","80.84","84.79","76.46","","-5.26%"
"06/01/2018","81.59","83.20","84.72","79.31","","-2.08%"
"05/01/2018","83.32","80.62","84.54","80.19","","2.67%"
"04/01/2018","81.15","81.79","86.10","80.16","","0.04%"
"03/01/2018","81.12","77.73","82.77","76.80","","3.64%"
"02/01/2018","78.27","86.95","88.34","76.39","","-10.71%"
"01/01/2018","87.66","86.21","92.94","84.57","","2.80%"
"12/01/2017","85.27","79.37","86.00","75.65","","7.37%"
"11/01/2017","79.42","81.81","82.95","78.96","","-2.19%"
"10/01/2017","81.20","84.36","88.19","80.66","","-4.08%"
"09/01/2017","84.65","90.70","93.39","84.38","","-6.07%"
"08/01/2017","90.12","85.06","90.92","81.26","","5.63%"
"07/01/2017","85.32","79.44","86.74","76.77","","5.62%"
"06/01/2017","80.78","82.60","87.39","78.66","","-3.13%"
"05/01/2017","83.39","82.56","88.01","77.46","","0.35%"
"04/01/2017","83.10","83.80","90.82","80.36","","-0.80%"
"03/01/2017","83.77","83.56","85.95","77.62","","-0.96%"
"02/01/2017","84.58","90.85","97.20","83.67","","-7.82%"
"01/01/2017","91.76","79.46","93.24","79.45","","16.36%"
"12/01/2016","78.86","79.41","84.15","71.63","","-1.28%"
"11/01/2016","79.88","88.71","92.36","75.54","","-8.13%"
"10/01/2016","86.95","93.91","94.73","79.88","","-7.50%"
"09/01/2016","94.00","89.67","101.76","89.03","","4.25%"
"08/01/2016","90.17","110.72","114.71","89.84","","-18.24%"
"07/01/2016","110.28","99.41","111.07","98.65","","12.95%"
"06/01/2016","97.64","81.04","97.78","79.05","","21.17%"
"05/01/2016","80.58","93.28","93.66","77.99","","-13.21%"
"04/01/2016","92.85","68.50","92.87","66.71","","33.58%"
"03/01/2016","69.51","64.36","73.81","61.16","","8.75%"
"02/01/2016","63.92","46.46","65.06","45.56","","39.08%"
"01/01/2016","45.96","45.78","48.98","38.36","","1.46%"
"12/01/2015","45.30","46.33","49.96","43.18","","-1.84%"
"11/01/2015","46.15","51.06","52.67","43.35","","-10.30%"
"10/01/2015","51.45","46.76","58.14","44.97","","11.24%"
"09/01/2015","46.25","48.47","49.77","42.72","","-4.50%"
"08/01/2015","48.43","47.34","54.74","43.59","","1.81%"
"07/01/2015","47.57","63.05","64.04","45.74","","-24.66%"
"06/01/2015","63.14","70.10","70.92","62.77","","-9.41%"
"05/01/2015","69.70","72.33","77.06","67.93","","-4.35%"
"04/01/2015","72.87","66.04","75.41","66.04","","11.25%"
"03/01/2015","65.50","76.92","76.97","62.48","","-14.87%"
"02/01/2015","76.94","78.43","81.08","73.23","","-3.10%"
"01/01/2015","79.40","68.18","83.22","67.34","","15.44%"
"12/01/2014","68.78","69.39","74.62","62.94","","0.57%"
"11/01/2014","68.39","65.17","75.49","61.39","","5.41%"
"10/01/2014","64.88","81.39","82.59","63.63","","-20.01%"
"09/01/2014","81.11","101.20","101.20","80.81","","-20.69%"
"08/01/2014","102.27","99.53","104.61","97.05","","3.44%"
"07/01/2014","98.87","101.00","106.01","98.15","","-1.97%"
"06/01/2014","100.86","84.84","101.47","83.52","","18.58%"
"05/01/2014","85.06","91.65","94.03","83.27","","-7.80%"
"04/01/2014","92.26","91.31","97.04","88.15","","1.16%"
"03/01/2014","91.20","100.39","107.39","90.00","","-8.39%"
"02/01/2014","99.55","91.25","104.34","88.81","","9.75%"
"01/01/2014","90.71","84.69","95.23","84.10","","7.80%"
"12/01/2013","84.15","85.87","86.54","79.73","","-2.67%"
"11/01/2013","86.46","94.64","94.86","83.89","","-9.06%"
"10/01/2013","95.07","92.61","101.66","86.15","","1.77%"
"09/01/2013","93.42","104.38","106.28","92.18","","-9.69%"
"08/01/2013","103.44","98.80","115.21","88.30","","4.75%"
"07/01/2013","98.75","90.84","103.75","84.47","","9.54%"
"06/01/2013","90.15","107.68","110.91","82.29","","-16.03%"
"05/01/2013","107.36","108.37","112.33","97.10","","-1.83%"
"04/01/2013","109.36","135.73","135.79","98.42","","-19.45%"
"03/01/2013","135.76","134.38","138.23","127.89","","1.13%"
"02/01/2013","134.24","150.60","154.26","133.56","","-10.32%"
"01/01/2013","149.68","166.22","169.97","148.85","","-9.61%"
"12/01/2012","165.60","170.40","170.75","156.76","","-2.70%"
"11/01/2012","170.20","188.15","188.21","161.90","","-9.59%"
"10/01/2012","188.25","191.51","194.99","179.12","","-1.44%"
"09/01/2012","191.00","169.99","196.71","167.53","","12.43%"
"08/01/2012","169.88","150.82","170.56","145.86","","12.58%"
"07/01/2012","150.90","157.43","164.08","142.15","","-4.21%"
"06/01/2012","157.54","153.99","169.77","149.63","","2.43%"
"05/01/2012","153.80","164.94","166.46","140.94","","-6.73%"
"04/01/2012","164.89","175.60","180.02","157.12","","-6.02%"
"03/01/2012","175.46","195.84","199.23","170.52","","-10.28%"
"02/01/2012","195.56","202.10","204.90","187.81","","-2.73%"
"01/01/2012","201.04","180.99","204.97","180.99","","11.29%"
"12/01/2011","180.64","208.04","210.11","173.96","","-13.28%"
"11/01/2011","208.30","199.01","216.79","187.57","","3.51%"
"10/01/2011","201.24","185.39","209.21","171.27","","8.78%"
"09/01/2011","185.00","217.88","228.98","181.92","","-15.12%"
"08/01/2011","217.96","205.89","221.13","190.35","","5.90%"
"07/01/2011","205.81","200.72","222.76","196.39","","2.33%"
"06/01/2011","201.13","208.81","209.05","187.18","","-3.66%"
"05/01/2011","208.78","221.71","221.83","192.31","","-6.05%"
"04/01/2011","222.22","216.63","230.48","212.68","","2.53%"
"03/01/2011","216.74","215.97","220.33","197.29","","0.66%"
"02/01/2011","215.32","201.44","215.42","201.44","","7.70%"
"01/01/2011","199.92","227.50","228.85","194.60","","-11.77%"
"12/01/2010","226.58","214.56","232.72","213.62","","6.29%"
"11/01/2010","213.17","205.10","227.08","200.85","","4.34%"
"10/01/2010","204.30","197.94","210.82","193.40","","3.73%"
"09/01/2010","196.96","186.02","200.32","182.61","","6.38%"
"08/01/2010","185.15","170.64","187.71","169.07","","9.09%"
"07/01/2010","169.72","177.26","177.71","162.70","","-4.45%"
"06/01/2010","177.63","173.70","187.20","167.50","","2.13%"
"05/01/2010","173.93","179.61","189.18","161.99","","-2.84%"
"04/01/2010","179.02","166.41","182.24","165.23","","8.31%"
"03/01/2010","165.28","161.40","172.73","158.14","","2.41%"
"02/01/2010","161.39","148.30","166.72","144.55","","9.10%"
"01/01/2010","147.93","169.55","186.48","147.38","","-12.08%"
"12/01/2009","168.25","184.74","198.32","163.37","","-8.42%"
"11/01/2009","183.71","157.88","191.92","154.38","","17.28%"
"10/01/2009","156.64","165.37","180.93","152.35","","-5.30%"
"09/01/2009","165.41","146.49","176.18","143.35","","12.49%"
"08/01/2009","147.04","150.06","156.62","137.56","","-1.06%"
"07/01/2009","148.62","140.06","151.92","125.61","","6.91%"
"06/01/2009","139.02","161.33","163.34","130.54","","-13.20%"
"05/01/2009","160.16","120.03","162.21","118.95","","33.44%"
"04/01/2009","120.02","134.74","140.79","114.34","","-10.76%"
"03/01/2009","134.49","119.13","142.14","107.31","","12.90%"
"02/01/2009","119.12","123.71","135.29","115.96","","-3.94%"
"01/01/2009","124.01","122.32","131.45","100.74","","0.13%"
"12/01/2008","123.85","95.65","126.47","79.65","","21.91%"
"11/01/2008","101.59","82.42","101.93","67.48","","25.33%"
"10/01/2008","81.06","131.21","136.33","63.52","","-38.22%"
"09/01/2008","131.21","149.12","153.84","110.70","","-12.07%"
"08/01/2008","149.22","168.81","170.05","134.02","","-11.61%"
"07/01/2008","168.82","195.25","206.21","163.26","","-13.54%"
"06/01/2008","195.25","181.43","198.52","172.15","","7.61%"
"05/01/2008","181.44","171.21","196.75","162.88","","5.96%"
"04/01/2008","171.23","176.63","195.12","165.73","","-3.12%"
"03/01/2008","176.75","196.65","209.27","168.72","","-10.09%"
"02/01/2008","196.58","186.31","203.45","172.36","","5.52%"
"01/01/2008","186.30","173.32","199.25","167.49","","7.49%"
"12/01/2007","173.32","171.06","179.20","157.42","","1.32%"
"11/01/2007","171.07","188.10","195.50","163.48","","-9.05%"
"10/01/2007","188.10","168.74","188.28","163.49","","11.47%"
"09/01/2007","168.75","140.73","173.17","140.62","","19.88%"
"08/01/2007","140.77","148.65","148.65","120.41","","-5.34%"
"07/01/2007","148.71","135.96","159.16","135.96","","9.39%"
"06/01/2007","135.95","139.78","142.61","130.83","","-2.73%"
"05/01/2007","139.76","136.94","144.37","133.53","","1.97%"
"04/01/2007","137.06","137.18","148.50","136.42","","0.04%"
"03/01/2007","137.01","136.48","139.62","126.35","","-1.90%"
"02/01/2007","139.66","141.99","148.11","135.87","","-0.16%"
"01/01/2007","139.89","143.00","143.64","129.04","","-1.66%"
"12/01/2006","142.25","148.49","149.95","137.15","","-4.71%"
"11/01/2006","149.28","139.35","149.54","130.86","","8.72%"
"10/01/2006","137.31","129.77","137.52","117.44","","6.92%"
"09/01/2006","128.42","146.73","153.15","121.75","","-12.47%"
"08/01/2006","146.72","141.27","150.70","137.82","","3.43%"
"07/01/2006","141.85","146.64","150.70","130.40","","-1.20%"
"06/01/2006","143.57","137.31","145.82","119.11","","0.68%"
"05/01/2006","142.60","160.60","171.71","133.13","","-9.81%"
"04/01/2006","158.11","143.66","159.98","141.24","","11.64%"
"03/01/2006","141.62","134.92","144.61","121.76","","6.20%"
"02/01/2006","133.35","155.14","155.14","132.67","","-13.52%"
"01/01/2006","154.19","130.97","156.47","130.97","","20.43%"
"12/01/2005","128.03","116.43","129.60","115.29","","11.71%"
"11/01/2005","114.61","105.78","119.48","104.80","","6.28%"
"10/01/2005","107.84","112.52","114.25","101.06","","-4.50%"
"09/01/2005","112.92","96.40","115.24","96.40","","17.91%"
"08/01/2005","95.77","91.13","100.52","90.76","","5.52%"
"07/01/2005","90.76","92.96","95.07","89.02","","-2.42%"
"06/01/2005","93.01","86.15","95.10","84.13","","7.81%"
