"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","108.9300","103.9400","113.7300","103.7500","","4.75%"
"03/01/2024","103.9900","93.2700","104.1500","93.2200","","11.71%"
"02/01/2024","93.0900","94.7200","98.0000","90.2400","","-3.11%"
"01/01/2024","96.0800","99.8300","100.2700","93.5500","","-3.97%"
"12/01/2023","100.0500","96.3600","102.5600","90.6300","","3.83%"
"11/01/2023","96.3600","86.6700","96.3600","84.2900","","11.35%"
"10/01/2023","86.5400","89.2600","89.9700","83.3300","","-3.14%"
"09/01/2023","89.3500","91.6000","94.3000","87.0300","","-2.27%"
"08/01/2023","91.4300","96.2000","96.2000","85.2400","","-4.79%"
"07/01/2023","96.0300","92.0700","97.9700","89.0900","","4.92%"
"06/01/2023","91.5300","89.6400","96.2100","89.1200","","2.72%"
"05/01/2023","89.1100","97.5000","102.3800","87.7900","","-8.69%"
"04/01/2023","97.5900","98.4100","104.7800","96.1200","","-1.30%"
"03/01/2023","98.8800","94.3900","99.6700","88.4700","","5.52%"
"02/01/2023","93.7100","105.1000","107.4100","90.5900","","-10.87%"
"01/01/2023","105.1400","95.8300","108.7400","94.8000","","9.99%"
"12/01/2022","95.5900","97.6200","99.9400","91.9100","","-0.34%"
"11/01/2022","95.9200","83.8600","96.8500","80.4200","","15.36%"
"10/01/2022","83.1500","79.5400","86.8900","78.2600","","3.86%"
"09/01/2022","80.0600","86.1700","92.5200","73.9900","","-8.70%"
"08/01/2022","87.6900","88.6300","95.3100","86.4700","","-1.00%"
"07/01/2022","88.5800","80.6400","88.7500","75.1000","","9.17%"
"06/01/2022","81.1400","99.9600","105.8600","80.6600","","-20.26%"
"05/01/2022","101.7500","107.9700","110.8600","89.1700","","-6.82%"
"04/01/2022","109.2000","117.4400","126.8200","106.7500","","-6.72%"
"03/01/2022","117.0700","105.1700","119.9400","104.8300","","12.05%"
"02/01/2022","104.4800","92.6700","104.5600","92.6700","","13.75%"
"01/01/2022","91.8500","98.6100","104.0700","89.1300","","-7.07%"
"12/01/2021","98.8400","98.1300","99.1900","89.1000","","0.75%"
"11/01/2021","98.1000","101.2600","108.8300","97.0200","","-3.23%"
"10/01/2021","101.3700","91.2400","106.2500","91.0100","","10.96%"
"09/01/2021","91.3600","96.1600","101.1600","89.2200","","-4.33%"
"08/01/2021","95.4900","97.9800","98.8500","85.2600","","-2.12%"
"07/01/2021","97.5600","95.8600","98.3400","90.0200","","1.72%"
"06/01/2021","95.9100","104.3400","106.8300","94.1700","","-7.78%"
"05/01/2021","104.0000","93.5800","104.6100","93.5500","","10.79%"
"04/01/2021","93.8700","87.9100","97.7500","87.8400","","7.27%"
"03/01/2021","87.5100","88.7600","94.9600","84.3100","","-1.93%"
"02/01/2021","89.2300","88.4800","95.9700","87.4400","","1.50%"
"01/01/2021","87.9100","90.8700","98.4200","84.5600","","-3.30%"
"12/01/2020","90.9100","78.9500","92.0000","78.9200","","15.96%"
"11/01/2020","78.4000","73.4800","83.1500","73.3100","","6.87%"
"10/01/2020","73.3600","75.5100","80.7900","72.3000","","-2.23%"
"09/01/2020","75.0300","82.0300","84.8100","71.6000","","-8.10%"
"08/01/2020","81.6400","80.3300","85.8500","75.8800","","1.74%"
"07/01/2020","80.2400","68.5000","83.6900","68.0000","","18.30%"
"06/01/2020","67.8300","65.0500","68.0800","60.5300","","6.18%"
"05/01/2020","63.8800","55.0700","65.3900","54.3100","","13.22%"
"04/01/2020","56.4200","42.8200","57.9400","42.3100","","31.85%"
"03/01/2020","42.7900","54.6100","58.0300","36.0600","","-21.30%"
"02/01/2020","54.3700","62.1600","65.0100","53.5200","","-13.23%"
"01/01/2020","62.6583","67.2000","68.0000","61.9000","","-6.87%"
"12/01/2019","67.2800","60.4600","67.2800","60.0900","","11.37%"
"11/01/2019","60.4100","62.5900","63.2000","58.8000","","-3.15%"
"10/01/2019","62.3777","59.6900","62.3800","58.6300","","4.00%"
"09/01/2019","59.9800","63.9600","66.0500","59.6800","","-5.77%"
"08/01/2019","63.6500","63.3800","66.0800","61.0400","","-0.87%"
"07/01/2019","64.2100","60.9700","66.4900","59.8200","","4.94%"
"06/01/2019","61.1900","53.4600","61.7800","53.4600","","14.70%"
"05/01/2019","53.3500","55.5800","55.8100","51.6700","","-3.84%"
"04/01/2019","55.4800","59.2600","60.9200","55.4800","","-5.89%"
"03/01/2019","58.9500","60.2100","61.1900","57.9700","","-2.26%"
"02/01/2019","60.3100","58.9800","62.2900","57.8000","","2.22%"
"01/01/2019","59.0000","52.5200","59.0000","51.8500","","12.53%"
"12/01/2018","52.4300","52.7900","53.4100","50.4100","","1.37%"
"11/01/2018","51.7200","52.6600","55.5200","50.5500","","-1.05%"
"10/01/2018","52.2700","55.5400","56.5800","52.0200","","-5.62%"
"09/01/2018","55.3800","55.0200","57.2700","51.5900","","-0.20%"
"08/01/2018","55.4900","61.1200","61.1400","53.8000","","-9.21%"
"07/01/2018","61.1200","62.9000","65.1000","60.7700","","-3.12%"
"06/01/2018","63.0900","65.2900","66.9500","62.0500","","-3.35%"
"05/01/2018","65.2800","64.5100","66.8700","63.9300","","1.04%"
"04/01/2018","64.6100","63.9600","68.5800","63.6400","","1.19%"
"03/01/2018","63.8500","65.0300","66.9000","63.1500","","-2.62%"
"02/01/2018","65.5700","69.2200","69.5000","62.0300","","-5.65%"
"01/01/2018","69.5000","68.4500","73.2000","68.4300","","1.33%"
"12/01/2017","68.5900","62.3400","68.7200","59.2300","","10.06%"
"11/01/2017","62.3200","62.7500","64.4100","61.4400","","-0.03%"
"10/01/2017","62.3400","63.2200","66.5200","61.8600","","-1.19%"
"09/01/2017","63.0900","65.9000","68.8200","62.3400","","-3.49%"
"08/01/2017","65.3700","62.2900","65.5600","59.6700","","5.55%"
"07/01/2017","61.9300","57.4500","62.2200","55.8900","","7.63%"
"06/01/2017","57.5400","55.7900","59.1300","54.2800","","2.90%"
"05/01/2017","55.9200","56.6900","57.9200","52.4300","","-1.48%"
"04/01/2017","56.7600","58.3900","61.3900","55.9400","","-2.84%"
"03/01/2017","58.4200","59.2800","60.8400","53.8300","","-2.06%"
"02/01/2017","59.6500","61.4700","66.2400","59.1900","","-2.93%"
"01/01/2017","61.4500","53.6300","62.8400","53.5400","","14.20%"
"12/01/2016","53.8100","54.8500","57.5200","49.4100","","-1.68%"
"11/01/2016","54.7300","58.1100","61.1600","53.4600","","-5.62%"
"10/01/2016","57.9900","59.4300","59.5800","54.0200","","-3.20%"
"09/01/2016","59.9100","56.5300","63.8100","55.9900","","5.55%"
"08/01/2016","56.7600","64.0500","65.9600","56.3600","","-10.84%"
"07/01/2016","63.6600","56.0100","63.9500","56.0100","","14.58%"
"06/01/2016","55.5600","47.5700","55.7700","46.8700","","16.92%"
"05/01/2016","47.5200","54.0300","54.5400","46.3100","","-11.54%"
"04/01/2016","53.7200","41.2000","53.7200","40.1000","","29.85%"
"03/01/2016","41.3700","37.9900","43.4700","37.1900","","10.47%"
"02/01/2016","37.4500","28.9600","37.5100","28.6500","","30.22%"
"01/01/2016","28.7600","29.6000","30.0900","25.2600","","-2.67%"
