"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","937,26","883,83","996,65","883,25","","6,07%"
"01.03.2024","883,65","741,39","886,10","739,19","","19,28%"
"01.02.2024","740,81","788,49","817,94","722,48","","-6,25%"
"01.01.2024","790,22","875,47","880,89","767,54","","-9,84%"
"01.12.2023","876,44","865,41","906,29","793,63","","1,11%"
"01.11.2023","866,82","780,38","868,80","750,57","","11,04%"
"01.10.2023","780,63","748,61","833,28","713,72","","4,14%"
"01.09.2023","749,58","817,96","833,91","740,42","","-8,33%"
"01.08.2023","817,70","873,72","877,87","760,66","","-6,66%"
"01.07.2023","876,04","836,33","913,09","810,89","","4,74%"
"01.06.2023","836,38","858,90","899,33","808,38","","-2,53%"
"01.05.2023","858,10","940,81","1.008,54","841,59","","-8,78%"
"01.04.2023","940,72","907,62","1.007,10","902,64","","3,61%"
"01.03.2023","907,96","768,31","914,56","746,44","","18,31%"
"01.02.2023","767,42","896,69","923,20","751,57","","-14,46%"
"01.01.2023","897,17","805,95","931,45","804,76","","11,38%"
"01.12.2022","805,50","804,36","832,77","775,21","","0,98%"
"01.11.2022","797,71","671,22","803,26","626,86","","18,84%"
"01.10.2022","671,25","665,09","716,54","627,89","","0,90%"
"01.09.2022","665,26","664,48","710,55","599,05","","0,04%"
"01.08.2022","664,97","731,42","766,35","664,38","","-9,10%"
"01.07.2022","731,50","767,43","1.103,00","682,98","","-4,63%"
"01.06.2022","767,05","891,44","928,74","765,85","","-13,94%"
"01.05.2022","891,25","983,98","1.010,44","836,16","","-9,52%"
"01.04.2022","985,06","1.073,21","1.157,33","966,63","","-8,19%"
"01.03.2022","1.072,97","963,12","1.118,47","961,95","","11,06%"
"01.02.2022","966,14","848,76","999,34","843,72","","14,10%"
"01.01.2022","846,78","897,52","930,37","814,52","","-5,67%"
"01.12.2021","897,68","879,34","899,18","802,95","","2,02%"
"01.11.2021","879,88","876,34","968,17","858,20","","0,26%"
"01.10.2021","877,57","813,41","933,48","805,14","","7,88%"
"01.09.2021","813,46","904,60","925,68","799,17","","-10,05%"
"01.08.2021","904,37","971,66","994,02","852,69","","-6,93%"
"01.07.2021","971,71","942,51","980,11","915,74","","3,08%"
"01.06.2021","942,71","1.093,72","1.109,85","927,78","","-13,74%"
"01.05.2021","1.092,89","957,32","1.115,95","955,00","","14,16%"
"01.04.2021","957,31","904,42","1.028,29","902,97","","6,23%"
"01.03.2021","901,16","871,75","958,29","862,03","","3,06%"
