"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","1.900,42","1.970,64","1.970,89","1.863,05","","-3,54%"
"01.03.2024","1.970,12","1.912,59","1.973,32","1.908,31","","2,95%"
"01.02.2024","1.913,69","1.836,64","1.916,43","1.833,41","","4,05%"
"01.01.2024","1.839,12","1.835,33","1.860,97","1.787,12","","0,17%"
"01.12.2023","1.836,01","1.744,89","1.844,82","1.741,59","","5,13%"
"01.11.2023","1.746,35","1.601,26","1.750,05","1.601,23","","9,08%"
"01.10.2023","1.600,93","1.655,80","1.683,55","1.579,64","","-3,39%"
"01.09.2023","1.657,17","1.732,47","1.745,77","1.639,77","","-4,36%"
"01.08.2023","1.732,63","1.785,75","1.786,43","1.672,35","","-3,04%"
"01.07.2023","1.786,91","1.723,50","1.788,14","1.691,49","","3,72%"
"01.06.2023","1.722,87","1.632,41","1.739,57","1.631,86","","5,66%"
"01.05.2023","1.630,51","1.654,36","1.664,56","1.622,19","","-1,45%"
"01.04.2023","1.654,50","1.634,96","1.664,48","1.621,70","","1,11%"
"01.03.2023","1.636,36","1.599,78","1.639,41","1.537,43","","2,20%"
"01.02.2023","1.601,19","1.649,32","1.689,03","1.590,67","","-2,89%"
"01.01.2023","1.648,90","1.538,59","1.658,02","1.529,21","","7,30%"
"01.12.2022","1.536,73","1.605,57","1.620,36","1.518,10","","-3,96%"
"01.11.2022","1.600,06","1.489,01","1.605,30","1.441,64","","7,46%"
"01.10.2022","1.489,05","1.403,02","1.498,01","1.367,20","","6,08%"
"01.09.2022","1.403,68","1.554,02","1.605,86","1.402,88","","-9,83%"
"01.08.2022","1.556,63","1.617,47","1.678,86","1.555,54","","-3,72%"
"01.07.2022","1.616,83","1.511,86","1.619,43","1.472,48","","7,02%"
"01.06.2022","1.510,77","1.656,67","1.669,66","1.471,78","","-8,78%"
"01.05.2022","1.656,26","1.657,74","1.701,57","1.539,49","","-0,19%"
"01.04.2022","1.659,38","1.803,47","1.825,94","1.653,17","","-8,07%"
"01.03.2022","1.805,11","1.773,11","1.838,39","1.662,16","","1,81%"
"01.02.2022","1.772,97","1.817,64","1.865,16","1.686,63","","-2,40%"
"01.01.2022","1.816,57","1.916,34","1.933,66","1.743,56","","-5,24%"
"01.12.2021","1.916,98","1.849,02","1.925,42","1.828,22","","3,86%"
"01.11.2021","1.845,71","1.897,79","1.939,34","1.845,70","","-2,78%"
"01.10.2021","1.898,51","1.811,71","1.909,03","1.790,86","","4,80%"
"01.09.2021","1.811,62","1.890,14","1.910,77","1.811,62","","-4,14%"
"01.08.2021","1.889,88","1.847,64","1.894,12","1.823,81","","2,33%"
"01.07.2021","1.846,82","1.839,35","1.863,91","1.793,49","","0,41%"
"01.06.2021","1.839,32","1.820,46","1.848,11","1.794,91","","1,09%"
"01.05.2021","1.819,54","1.795,63","1.822,78","1.742,94","","1,31%"
"01.04.2021","1.796,02","1.723,80","1.818,95","1.723,38","","4,21%"
"01.03.2021","1.723,47","1.681,47","1.747,99","1.649,20","","2,38%"
"01.02.2021","1.683,37","1.640,21","1.758,44","1.639,25","","2,56%"
"01.01.2021","1.641,33","1.644,99","1.712,38","1.625,61","","-0,24%"
"01.12.2020","1.645,25","1.568,04","1.647,02","1.568,00","","4,86%"
"01.11.2020","1.569,06","1.393,92","1.584,77","1.393,48","","12,55%"
"01.10.2020","1.394,16","1.426,36","1.499,60","1.385,04","","-2,24%"
"01.09.2020","1.426,04","1.473,04","1.499,14","1.374,99","","-3,25%"
"01.08.2020","1.473,90","1.391,10","1.481,59","1.389,69","","5,91%"
"01.07.2020","1.391,67","1.325,48","1.407,58","1.321,59","","5,05%"
"01.06.2020","1.324,74","1.286,16","1.379,40","1.273,37","","3,03%"
"01.05.2020","1.285,75","1.229,82","1.296,44","1.170,76","","4,41%"
