"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","1.090,87","1.027,11","1.182,06","1.025,55","","6,25%"
"01.03.2024","1.026,69","845,30","1.029,10","843,04","","21,50%"
"01.02.2024","845,04","900,87","935,98","825,53","","-6,84%"
"01.01.2024","907,08","1.012,95","1.017,59","887,58","","-10,64%"
"01.12.2023","1.015,11","1.013,52","1.050,34","922,12","","-0,06%"
"01.11.2023","1.015,76","884,58","1.015,76","859,76","","14,68%"
"01.10.2023","885,75","852,06","934,24","806,66","","3,78%"
"01.09.2023","853,48","951,98","963,68","839,63","","-10,34%"
"01.08.2023","951,91","987,40","991,91","870,49","","-3,69%"
"01.07.2023","988,36","933,51","1.037,20","908,98","","5,86%"
"01.06.2023","933,66","973,32","1.018,50","901,41","","-3,92%"
"01.05.2023","971,77","1.048,72","1.113,18","947,14","","-7,32%"
"01.04.2023","1.048,48","1.044,11","1.147,78","1.036,82","","0,40%"
"01.03.2023","1.044,26","884,48","1.057,07","850,97","","18,18%"
"01.02.2023","883,59","1.021,94","1.056,98","856,07","","-13,54%"
"01.01.2023","1.021,92","936,14","1.075,12","935,27","","9,32%"
"01.12.2022","934,77","930,37","973,58","890,02","","1,67%"
"01.11.2022","919,46","771,12","931,04","731,05","","19,39%"
"01.10.2022","770,15","763,80","835,64","723,25","","0,74%"
"01.09.2022","764,51","771,09","834,27","676,85","","-0,97%"
"01.08.2022","771,99","875,17","915,54","767,73","","-11,79%"
"01.07.2022","875,22","840,04","878,31","761,68","","4,29%"
"01.06.2022","839,23","1.032,40","1.091,63","838,38","","-18,67%"
"01.05.2022","1.031,93","1.129,35","1.155,96","926,16","","-8,78%"
"01.04.2022","1.131,28","1.224,80","1.343,54","1.099,90","","-7,71%"
"01.03.2022","1.225,81","1.123,63","1.295,20","1.123,08","","8,57%"
"01.02.2022","1.129,06","998,84","1.155,01","983,49","","13,29%"
"01.01.2022","996,63","1.089,66","1.130,16","958,56","","-8,60%"
"01.12.2021","1.090,40","1.093,13","1.108,30","977,24","","-0,10%"
"01.11.2021","1.091,46","1.107,30","1.230,00","1.080,67","","-1,46%"
"01.10.2021","1.107,62","978,17","1.164,74","972,77","","13,21%"
"01.09.2021","978,35","1.101,76","1.127,98","957,53","","-11,19%"
"01.08.2021","1.101,58","1.169,68","1.196,80","1.009,29","","-5,82%"
"01.07.2021","1.169,71","1.188,48","1.231,19","1.101,41","","-1,62%"
"01.06.2021","1.188,95","1.396,80","1.421,38","1.165,88","","-14,86%"
"01.05.2021","1.396,40","1.211,09","1.405,98","1.206,45","","15,30%"
"01.04.2021","1.211,12","1.140,03","1.305,77","1.140,03","","6,21%"
"01.03.2021","1.140,33","1.172,49","1.250,53","1.109,22","","-3,05%"
"01.02.2021","1.176,26","1.276,32","1.384,18","1.159,18","","-8,32%"
"01.01.2021","1.283,07","1.388,02","1.489,90","1.212,59","","-7,03%"
"01.12.2020","1.380,14","1.251,75","1.403,57","1.241,17","","10,76%"
"01.11.2020","1.246,04","1.324,22","1.504,44","1.198,06","","-6,06%"
"01.10.2020","1.326,40","1.387,30","1.494,03","1.292,01","","-4,34%"
"01.09.2020","1.386,57","1.496,94","1.568,79","1.300,85","","-7,45%"
"01.08.2020","1.498,18","1.505,45","1.627,65","1.383,32","","-0,57%"
"01.07.2020","1.506,79","1.229,56","1.572,24","1.219,00","","22,69%"
"01.06.2020","1.228,09","1.148,88","1.231,52","1.052,88","","7,00%"
"01.05.2020","1.147,75","1.016,75","1.208,41","974,51","","12,56%"
"01.04.2020","1.019,65","716,23","1.062,48","705,59","","42,49%"
"01.03.2020","715,58","912,29","1.027,28","579,07","","-22,40%"
"01.02.2020","922,10","1.033,48","1.143,75","893,80","","-10,41%"
"01.01.2020","1.029,27","1.051,82","1.067,86","982,98","","-2,39%"
"01.12.2019","1.054,43","940,27","1.054,43","933,47","","12,31%"
"01.11.2019","938,88","971,82","975,10","887,93","","-2,79%"
"01.10.2019","965,80","905,19","966,46","882,78","","6,71%"
"01.09.2019","905,07","1.018,58","1.050,86","899,18","","-11,21%"
"01.08.2019","1.019,33","938,78","1.058,34","910,95","","8,30%"
"01.07.2019","941,18","865,43","988,48","833,73","","8,77%"
"01.06.2019","865,32","725,74","884,39","725,59","","19,26%"
"01.05.2019","725,57","724,63","728,74","686,80","","0,21%"
"01.04.2019","724,07","784,03","803,53","708,32","","-7,63%"
"01.03.2019","783,86","802,45","828,67","757,28","","-2,29%"
"01.02.2019","802,26","812,75","863,05","779,38","","-1,23%"
"01.01.2019","812,28","742,37","812,28","721,82","","9,53%"
"01.12.2018","741,60","656,96","742,23","654,67","","13,13%"
"01.11.2018","655,52","668,77","699,01","636,29","","-2,27%"
"01.10.2018","670,77","671,05","739,33","659,72","","0,06%"
"01.09.2018","670,37","678,29","701,81","636,36","","-1,32%"
"01.08.2018","679,37","775,92","778,76","655,00","","-12,49%"
"01.07.2018","776,33","798,84","832,17","769,36","","-2,78%"
"01.06.2018","798,52","800,73","814,87","784,61","","-0,22%"
"01.05.2018","800,28","796,89","836,02","789,39","","0,35%"
"01.04.2018","797,45","783,77","840,68","774,09","","1,79%"
"01.03.2018","783,42","767,19","810,39","753,63","","2,20%"
"01.02.2018","766,53","819,89","823,23","734,54","","-6,74%"
"01.01.2018","821,92","834,46","881,74","803,71","","-1,64%"
"01.12.2017","835,61","772,41","841,31","731,38","","8,12%"
"01.11.2017","772,85","780,62","804,21","767,94","","-0,95%"
"01.10.2017","780,29","819,63","857,86","770,50","","-4,75%"
"01.09.2017","819,21","874,74","920,19","814,95","","-6,22%"
"01.08.2017","873,57","816,39","878,20","776,64","","7,06%"
"01.07.2017","816,00","814,79","823,97","753,62","","0,22%"
"01.06.2017","814,19","770,88","851,55","764,83","","5,59%"
"01.05.2017","771,12","793,25","835,64","731,58","","-2,71%"
"01.04.2017","792,62","889,53","936,58","767,65","","-10,81%"
"01.03.2017","888,71","903,12","940,95","803,78","","-2,08%"
"01.02.2017","907,61","929,94","1.059,48","894,86","","-2,17%"
"01.01.2017","927,75","785,87","952,58","782,51","","17,90%"
"01.12.2016","786,91","801,30","851,11","680,47","","-1,98%"
"01.11.2016","802,82","944,88","1.012,46","774,20","","-15,12%"
"01.10.2016","945,88","1.020,53","1.022,34","871,69","","-8,79%"
"01.09.2016","1.036,98","980,62","1.148,05","963,19","","5,81%"
"01.08.2016","980,03","1.164,74","1.223,95","971,95","","-15,90%"
"01.07.2016","1.165,30","998,26","1.174,20","998,05","","16,81%"
"01.06.2016","997,62","791,05","999,28","778,20","","26,08%"
"01.05.2016","791,27","893,21","926,15","766,85","","-11,50%"
"01.04.2016","894,12","652,79","894,25","635,00","","36,79%"
"01.03.2016","653,63","604,96","687,47","583,72","","8,58%"
"01.02.2016","601,98","446,84","605,09","445,09","","35,00%"
"01.01.2016","445,91","450,43","484,90","397,34","","-0,79%"
"01.12.2015","449,44","438,70","470,51","435,07","","2,79%"
"01.11.2015","437,22","477,28","481,62","422,77","","-8,58%"
"01.10.2015","478,26","447,51","548,01","447,51","","4,90%"
"01.09.2015","455,94","471,81","501,13","427,41","","-2,90%"
"01.08.2015","469,56","447,39","524,05","427,37","","4,66%"
"01.07.2015","448,66","558,92","560,86","418,85","","-19,73%"
"01.06.2015","558,93","598,68","607,51","558,69","","-6,59%"
"01.05.2015","598,34","583,34","633,21","568,16","","2,69%"
"01.04.2015","582,69","534,12","612,38","525,35","","9,10%"
"01.03.2015","534,09","615,84","623,34","482,06","","-13,41%"
"01.02.2015","616,81","639,96","653,28","589,41","","-3,24%"
"01.01.2015","637,45","555,46","707,77","543,00","","14,67%"
"01.12.2014","555,90","576,40","625,02","489,92","","-5,13%"
"01.11.2014","585,93","569,56","678,18","522,66","","1,91%"
"01.10.2014","574,96","771,32","789,10","564,72","","-25,54%"
"01.09.2014","772,18","956,03","956,15","771,34","","-19,35%"
"01.08.2014","957,50","952,62","985,32","912,33","","0,41%"
"01.07.2014","953,62","958,78","1.046,20","931,38","","-0,65%"
"01.06.2014","959,82","765,91","978,80","747,53","","25,40%"
"01.05.2014","765,41","817,21","849,32","745,57","","-8,01%"
"01.04.2014","832,05","833,77","887,61","780,05","","-0,26%"
"01.03.2014","834,22","944,95","1.039,59","817,87","","-11,24%"
"01.02.2014","939,87","808,52","1.007,16","804,64","","16,58%"
"01.01.2014","806,21","702,77","861,14","702,02","","14,78%"
"01.12.2013","702,41","734,72","735,11","651,19","","-4,22%"
"01.11.2013","733,34","862,99","864,94","709,06","","-15,64%"
"01.10.2013","869,34","931,35","948,36","797,16","","-6,93%"
"01.09.2013","934,04","1.100,08","1.113,57","913,11","","-15,00%"
"01.08.2013","1.098,83","931,67","1.211,17","848,31","","17,85%"
"01.07.2013","932,40","826,09","1.009,22","781,08","","13,01%"
"01.06.2013","825,07","1.108,47","1.159,21","755,69","","-25,68%"
"01.05.2013","1.110,15","1.161,91","1.162,13","956,01","","-4,54%"
"01.04.2013","1.162,92","1.487,35","1.497,19","1.032,02","","-23,39%"
"01.03.2013","1.518,04","1.443,84","1.561,72","1.366,98","","4,30%"
"01.02.2013","1.455,51","1.725,81","1.742,39","1.429,67","","-15,49%"
"01.01.2013","1.722,22","1.823,75","1.882,66","1.687,16","","-4,22%"
"01.12.2012","1.798,03","1.896,02","1.909,38","1.717,69","","-5,21%"
"01.11.2012","1.896,78","2.091,91","2.111,64","1.852,24","","-9,45%"
"01.10.2012","2.094,63","2.155,79","2.216,83","2.027,89","","-3,19%"
"01.09.2012","2.163,66","1.890,86","2.235,08","1.888,54","","15,15%"
"01.08.2012","1.878,99","1.684,83","1.950,36","1.660,16","","11,24%"
"01.07.2012","1.689,10","1.613,38","1.768,95","1.554,69","","1,26%"
"01.06.2012","1.668,01","1.679,40","1.918,19","1.593,61","","-1,26%"
"01.05.2012","1.689,26","2.022,10","2.069,21","1.521,58","","-16,80%"
"01.04.2012","2.030,45","2.138,89","2.174,90","1.874,64","","-4,40%"
"01.03.2012","2.123,94","2.457,43","2.489,15","2.047,87","","-14,70%"
"01.02.2012","2.489,84","2.570,16","2.644,30","2.390,32","","-3,23%"
"01.01.2012","2.573,07","2.122,24","2.617,23","2.119,92","","21,07%"
"01.12.2011","2.125,19","2.471,67","2.524,96","1.984,25","","-13,94%"
"01.11.2011","2.469,42","2.533,20","2.740,97","2.218,48","","-3,78%"
"01.10.2011","2.566,53","2.303,15","2.681,74","2.086,76","","10,17%"
"01.09.2011","2.329,70","3.029,11","3.173,65","2.267,11","","-23,11%"
"01.08.2011","3.029,98","2.955,74","3.099,37","2.603,34","","3,03%"
"01.07.2011","2.940,80","2.782,85","3.191,63","2.756,66","","5,86%"
"01.06.2011","2.777,94","3.088,03","3.109,18","2.615,21","","-9,93%"
"01.05.2011","3.084,17","3.369,04","3.370,53","2.735,48","","-8,53%"
"01.04.2011","3.371,63","3.189,99","3.469,29","3.144,09","","6,11%"
"01.03.2011","3.177,35","3.115,01","3.303,01","2.802,54","","2,40%"
"01.02.2011","3.102,77","2.779,44","3.200,77","2.776,32","","11,88%"
"01.01.2011","2.773,30","3.230,59","3.251,98","2.644,96","","-13,62%"
"01.12.2010","3.210,47","3.039,39","3.343,85","3.036,66","","6,16%"
"01.11.2010","3.024,04","2.719,19","3.220,77","2.701,39","","11,71%"
"01.10.2010","2.707,13","2.511,83","2.750,34","2.494,08","","7,25%"
"01.09.2010","2.524,07","2.305,49","2.600,92","2.295,97","","10,51%"
"01.08.2010","2.284,08","2.006,79","2.304,01","2.006,79","","14,40%"
"01.07.2010","1.996,51","2.054,03","2.063,10","1.885,24","","-3,12%"
"01.06.2010","2.060,82","2.050,33","2.290,82","1.976,90","","0,49%"
"01.05.2010","2.050,81","2.186,42","2.320,84","1.862,46","","-6,21%"
"01.04.2010","2.186,52","1.935,81","2.211,56","1.935,66","","13,47%"
"01.03.2010","1.927,02","1.806,56","2.017,98","1.800,78","","6,83%"
"01.02.2010","1.803,85","1.647,21","1.895,40","1.597,27","","8,82%"
"01.01.2010","1.657,65","1.938,18","2.160,39","1.656,81","","-13,29%"
"01.12.2009","1.911,61","2.050,17","2.230,02","1.825,45","","-6,52%"
"01.11.2009","2.044,99","1.610,02","2.130,94","1.589,35","","26,97%"
"01.10.2009","1.610,64","1.646,15","1.878,24","1.526,02","","-2,22%"
"01.09.2009","1.647,18","1.392,87","1.759,07","1.342,81","","17,70%"
"01.08.2009","1.399,50","1.411,10","1.444,71","1.302,38","","0,54%"
"01.07.2009","1.391,92","1.279,17","1.391,92","1.140,60","","10,48%"
"01.06.2009","1.259,90","1.474,28","1.508,53","1.196,16","","-13,55%"
"01.05.2009","1.457,42","1.154,40","1.457,42","1.154,40","","33,59%"
"01.04.2009","1.090,97","1.094,83","1.115,36","993,15","","3,75%"
