"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","309,98","296,93","329,04","292,54","1,71B","6,76%"
"01.03.2024","290,34","248,49","291,27","245,31","1,58B","18,20%"
"01.02.2024","245,63","264,69","270,82","238,95","1,18B","-5,99%"
"01.01.2024","261,27","285,26","288,00","254,83","1,17B","-8,02%"
"01.12.2023","284,05","288,49","295,90","265,76","1,26B","-1,76%"
"01.11.2023","289,13","268,82","290,72","256,93","1,37B","7,66%"
"01.10.2023","268,55","249,57","285,90","244,14","1,19B","6,41%"
"01.09.2023","252,38","278,75","279,85","249,02","1,05B","-8,12%"
"01.08.2023","274,68","281,94","283,10","258,25","987,38M","-4,32%"
"01.07.2023","287,09","280,09","298,80","269,37","859,98M","3,01%"
"01.06.2023","278,69","294,30","301,79","268,05","1,20B","-4,97%"
"01.05.2023","293,25","323,41","345,05","287,99","1,30B","-8,02%"
"01.04.2023","318,81","306,74","334,67","304,66","1,22B","3,65%"
"01.03.2023","307,57","268,98","310,00","260,30","1,83B","15,82%"
"01.02.2023","265,57","303,62","311,45","258,20","1,21B","-12,80%"
"01.01.2023","304,57","284,93","316,93","284,93","1,26B","9,64%"
"01.12.2022","277,79","280,56","288,32","268,79","1,40B","0,59%"
"01.11.2022","276,16","243,03","276,62","220,91","1,91B","15,77%"
"01.10.2022","238,55","244,50","256,07","227,15","1,34B","-1,34%"
"01.09.2022","241,80","220,44","244,67","216,92","1,84B","8,11%"
"01.08.2022","223,67","240,47","249,26","223,61","1,39B","-6,27%"
"01.07.2022","238,62","263,68","271,15","223,94","1,35B","-8,98%"
"01.06.2022","262,16","294,86","306,13","261,61","1,60B","-10,71%"
"01.05.2022","293,61","323,01","338,48","287,48","1,49B","-10,85%"
"01.04.2022","329,35","346,72","379,45","324,14","1,25B","-5,58%"
"01.03.2022","348,81","317,80","374,02","317,80","2,20B","10,59%"
"01.02.2022","315,42","283,59","331,97","277,97","1,68B","12,24%"
"01.01.2022","281,03","289,07","297,88","270,19","1,32B","-3,75%"
"01.12.2021","291,99","288,72","292,91","265,83","1,37B","1,78%"
"01.11.2021","286,88","273,98","310,08","269,95","1,49B","4,80%"
"01.10.2021","273,73","265,10","292,91","257,81","1,09B","3,80%"
"01.09.2021","263,70","291,81","295,88","258,51","1,27B","-9,35%"
"01.08.2021","290,90","307,97","317,48","279,57","1,08B","-5,81%"
"01.07.2021","308,83","297,82","310,49","291,62","1,02B","4,84%"
"01.06.2021","294,57","333,31","334,99","288,31","1,54B","-10,78%"
"01.05.2021","330,17","299,82","341,30","299,09","1,37B","12,07%"
"01.04.2021","294,61","289,14","323,71","288,34","1,20B","3,48%"
"01.03.2021","284,70","273,32","298,45","267,29","1,74B","5,67%"
"01.02.2021","269,42","316,98","317,12","268,30","1,45B","-11,23%"
"01.01.2021","303,52","328,96","341,72","296,09","1,45B","-3,77%"
"01.12.2020","315,42","320,21","330,89","303,84","1,55B","1,57%"
"01.11.2020","310,54","353,77","380,32","300,50","1,64B","-11,30%"
"01.10.2020","350,09","367,53","376,11","336,78","1,28B","-3,90%"
"01.09.2020","364,29","390,12","398,54","345,78","1,89B","-4,86%"
"01.08.2020","382,91","393,71","416,84","357,31","1,63B","-3,71%"
"01.07.2020","397,68","342,37","409,76","338,27","2,04B","14,95%"
"01.06.2020","345,95","328,67","346,60","290,71","2,01B","5,28%"
"01.05.2020","328,61","322,89","371,89","314,03","1,91B","0,52%"
"01.04.2020","326,91","235,07","353,82","233,99","2,10B","38,69%"
"01.03.2020","235,71","253,13","284,29","173,42","3,04B","-5,35%"
"01.02.2020","249,04","265,07","295,16","239,32","1,67B","-6,59%"
"01.01.2020","266,60","263,81","270,88","247,38","1,45B","2,03%"
"01.12.2019","261,30","243,61","265,32","242,16","1,39B","7,24%"
"01.11.2019","243,66","248,15","249,38","231,92","1,31B","-2,47%"
"01.10.2019","249,82","234,30","250,60","229,84","1,37B","6,04%"
"01.09.2019","235,58","266,83","270,74","233,72","1,91B","-10,51%"
"01.08.2019","263,24","223,25","272,56","222,97","1,97B","16,23%"
"01.07.2019","226,48","215,93","241,31","212,83","1,54B","2,71%"
"01.06.2019","220,50","192,78","226,87","192,25","1,64B","15,78%"
"01.05.2019","190,45","182,21","191,48","177,08","1,15B","4,25%"
"01.04.2019","182,68","195,38","199,51","181,30","1,25B","-6,49%"
"01.03.2019","195,35","189,30","204,78","185,64","1,67B","2,59%"
"01.02.2019","190,41","190,83","201,22","185,93","1,31B","-0,56%"
"01.01.2019","191,48","186,52","191,58","171,42","1,39B","2,51%"
"01.12.2018","186,80","165,72","187,15","163,71","1,43B","13,67%"
"01.11.2018","164,34","162,32","171,68","155,99","1,06B","2,57%"
"01.10.2018","160,22","153,73","175,53","152,97","1,40B","3,64%"
"01.09.2018","154,59","156,44","161,06","147,33","1,23B","-1,74%"
"01.08.2018","157,32","181,03","181,43","154,95","1,16B","-13,46%"
"01.07.2018","181,78","191,91","196,56","180,87","920,57M","-5,10%"
"01.06.2018","191,54","189,78","194,28","187,73","1,11B","0,69%"
"01.05.2018","190,22","187,27","193,28","184,79","1,04B","1,09%"
"01.04.2018","188,16","188,09","193,52","182,30","1,08B","0,85%"
"01.03.2018","186,58","178,35","191,12","176,48","1,27B","3,89%"
"01.02.2018","179,59","193,22","195,86","174,57","1,35B","-7,66%"
"01.01.2018","194,49","197,25","205,50","191,23","1,34B","-0,50%"
