"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","33,13","32,31","35,74","31,71","689,22M","4,78%"
"01.03.2024","31,62","26,71","31,78","26,30","567,33M","19,95%"
"01.02.2024","26,36","28,29","29,14","25,67","472,43M","-5,65%"
"01.01.2024","27,94","31,04","31,24","27,23","454,59M","-9,90%"
"01.12.2023","31,01","31,24","32,35","28,67","509,36M","-0,99%"
"01.11.2023","31,32","28,10","31,39","27,01","497,28M","11,82%"
"01.10.2023","28,01","26,56","30,16","25,62","518,84M","4,09%"
"01.09.2023","26,91","29,66","30,13","26,62","365,48M","-8,03%"
"01.08.2023","29,26","30,72","30,87","27,27","388,78M","-6,84%"
"01.07.2023","31,41","30,25","32,92","28,91","395,67M","4,32%"
"01.06.2023","30,11","31,08","32,29","28,76","399,09M","-2,59%"
"01.05.2023","30,91","34,15","36,26","30,11","476,41M","-7,95%"
"01.04.2023","33,58","32,50","36,10","32,24","436,39M","3,80%"
"01.03.2023","32,35","27,80","32,73","26,58","656,06M","17,59%"
"01.02.2023","27,51","32,00","33,00","26,64","408,60M","-14,08%"
"01.01.2023","32,02","29,33","33,34","29,25","461,67M","11,72%"
"01.12.2022","28,66","29,73","30,45","27,55","527,34M","-1,34%"
"01.11.2022","29,05","24,84","29,24","22,58","654,37M","20,24%"
"01.10.2022","24,16","24,50","26,11","22,49","506,77M","0,17%"
"01.09.2022","24,12","23,35","25,71","21,52","600,00M","1,34%"
"01.08.2022","23,80","26,39","27,58","23,80","453,21M","-9,40%"
"01.07.2022","26,27","26,96","28,37","24,38","489,21M","-4,05%"
"01.06.2022","27,38","32,02","33,52","27,33","433,90M","-13,71%"
"01.05.2022","31,73","34,08","36,17","29,66","480,44M","-9,32%"
"01.04.2022","34,99","38,12","41,60","34,57","482,33M","-8,76%"
"01.03.2022","38,35","34,75","40,26","34,69","670,71M","11,55%"
"01.02.2022","34,38","30,55","36,07","29,94","499,79M","13,73%"
"01.01.2022","30,23","31,42","33,19","28,87","507,81M","-5,62%"
"01.12.2021","32,03","32,20","32,48","28,90","426,55M","0,72%"
"01.11.2021","31,80","31,77","35,08","30,96","420,97M","0,28%"
"01.10.2021","31,71","29,68","33,95","29,11","436,63M","7,60%"
"01.09.2021","29,47","32,78","33,52","28,83","509,57M","-9,60%"
"01.08.2021","32,60","34,92","35,82","30,68","475,70M","-6,64%"
"01.07.2021","34,92","34,47","35,37","32,87","383,58M","2,77%"
"01.06.2021","33,98","39,64","39,88","33,30","474,45M","-13,80%"
"01.05.2021","39,42","34,98","40,13","34,91","443,69M","14,73%"
"01.04.2021","34,36","32,95","36,83","32,84","390,74M","5,72%"
"01.03.2021","32,50","31,52","34,48","30,64","499,31M","4,40%"
"01.02.2021","31,13","36,03","36,28","30,90","441,16M","-9,79%"
"01.01.2021","34,51","37,69","39,01","33,63","509,97M","-4,19%"
"01.12.2020","36,02","35,80","37,64","34,26","494,59M","3,86%"
"01.11.2020","34,68","38,09","41,81","33,25","544,30M","-7,50%"
"01.10.2020","37,49","39,55","41,34","36,01","445,35M","-4,26%"
"01.09.2020","39,16","43,13","43,60","37,08","519,90M","-7,36%"
"01.08.2020","42,27","42,60","45,78","38,88","664,65M","-1,56%"
"01.07.2020","42,94","36,57","44,46","35,52","724,66M","17,07%"
"01.06.2020","36,68","34,60","36,72","31,22","722,95M","6,88%"
"01.05.2020","34,32","31,48","37,49","31,31","641,19M","6,39%"
"01.04.2020","32,26","23,00","34,74","23,00","842,60M","40,02%"
"01.03.2020","23,04","27,09","29,97","16,18","2,27B","-12,13%"
"01.02.2020","26,22","28,81","31,84","25,43","1,13B","-9,56%"
"01.01.2020","28,99","29,62","29,87","27,68","973,81M","-0,99%"
"01.12.2019","29,28","26,89","29,76","26,83","1,06B","8,12%"
"01.11.2019","27,08","27,93","28,16","25,98","973,08M","-3,80%"
"01.10.2019","28,15","26,62","28,38","26,18","1,33B","5,39%"
"01.09.2019","26,71","30,28","30,96","26,54","1,57B","-10,55%"
"01.08.2019","29,86","26,10","30,81","26,04","1,44B","12,68%"
"01.07.2019","26,50","24,80","28,41","24,53","1,21B","3,68%"
"01.06.2019","25,56","22,03","26,25","21,91","1,12B","18,39%"
"01.05.2019","21,59","20,83","21,74","20,14","755,05M","3,35%"
"01.04.2019","20,89","22,43","22,93","20,67","736,82M","-6,82%"
"01.03.2019","22,42","22,06","23,38","21,40","969,16M","0,81%"
"01.02.2019","22,24","22,53","23,70","21,84","861,73M","-1,98%"
"01.01.2019","22,69","21,11","22,69","20,22","909,93M","7,59%"
"01.12.2018","21,09","19,39","21,47","19,16","1,19B","10,48%"
"01.11.2018","19,09","19,24","19,92","18,26","834,46M","0,85%"
"01.10.2018","18,93","18,44","20,51","18,15","1,20B","2,21%"
"01.09.2018","18,52","18,28","19,11","17,28","878,58M","-0,16%"
"01.08.2018","18,55","21,25","21,32","18,15","1,13B","-12,83%"
"01.07.2018","21,28","22,12","22,93","21,18","754,50M","-4,62%"
"01.06.2018","22,31","22,32","22,67","21,77","597,92M","-0,13%"
"01.05.2018","22,34","22,14","23,06","22,01","707,22M","0,27%"
"01.04.2018","22,28","22,19","23,31","21,68","764,50M","1,36%"
"01.03.2018","21,98","21,12","22,51","20,94","825,07M","2,95%"
"01.02.2018","21,35","23,57","23,81","20,83","980,98M","-10,11%"
"01.01.2018","23,75","23,46","24,86","22,97","816,69M","2,19%"
"01.12.2017","23,24","22,36","23,37","21,27","690,84M","3,43%"
"01.11.2017","22,47","22,66","23,17","22,22","635,83M","-0,04%"
"01.10.2017","22,48","22,91","23,99","22,30","806,92M","-2,09%"
"01.09.2017","22,96","24,84","25,58","22,95","919,33M","-7,12%"
"01.08.2017","24,72","22,77","24,76","22,02","974,24M","8,14%"
"01.07.2017","22,86","21,67","23,06","20,99","815,35M","3,53%"
"01.06.2017","22,08","22,50","23,86","21,75","1,14B","-2,69%"
"01.05.2017","22,69","22,03","23,67","20,89","1,10B","2,07%"
"01.04.2017","22,23","22,84","24,88","21,68","1,22B","-2,54%"
"01.03.2017","22,81","22,45","23,56","21,14","1,49B","-0,18%"
"01.02.2017","22,85","23,56","25,71","22,64","1,12B","-4,51%"
"01.01.2017","23,93","21,07","24,25","20,98","1,49B","14,39%"
"01.12.2016","20,92","20,59","22,24","18,58","1,70B","0,43%"
"01.11.2016","20,83","25,08","25,93","20,13","1,94B","-15,05%"
"01.10.2016","24,52","26,35","26,57","22,50","1,63B","-7,23%"
"01.09.2016","26,43","25,35","28,70","25,17","1,74B","3,69%"
"01.08.2016","25,49","30,47","31,79","25,33","1,53B","-16,67%"
"01.07.2016","30,59","28,50","30,77","27,44","1,51B","10,39%"
"01.06.2016","27,71","22,70","27,75","22,34","1,76B","22,72%"
"01.05.2016","22,58","26,10","26,17","21,94","1,88B","-12,58%"
