"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.12.2025","697,66","700,78","713,72","690,60","","-0,45%"
"12.12.2025","700,78","707,22","722,73","688,62","","-0,91%"
"11.12.2025","707,22","678,09","715,70","676,91","","4,30%"
"10.12.2025","678,09","671,95","682,94","656,10","","0,91%"
"09.12.2025","671,95","650,05","672,46","650,05","","3,37%"
"08.12.2025","650,05","663,76","667,45","649,95","","-2,07%"
"05.12.2025","663,76","668,08","683,69","661,11","","-0,65%"
"04.12.2025","668,08","661,87","668,77","655,61","","0,94%"
"03.12.2025","661,87","666,55","676,55","661,10","","-0,70%"
"02.12.2025","666,55","677,78","678,70","648,96","","-1,66%"
"01.12.2025","677,78","677,48","688,49","673,27","","0,04%"
"28.11.2025","677,48","663,54","678,89","663,54","","2,10%"
"26.11.2025","663,54","632,34","664,13","632,34","","4,93%"
"25.11.2025","632,34","628,52","636,66","623,71","","0,61%"
"24.11.2025","628,52","594,03","629,32","594,03","","5,81%"
"21.11.2025","594,03","589,51","600,47","583,84","","0,77%"
"20.11.2025","589,51","622,94","631,57","589,35","","-5,37%"
"19.11.2025","622,94","615,29","636,91","615,29","","1,24%"
"18.11.2025","615,29","608,38","620,78","603,43","","1,14%"
"17.11.2025","608,38","615,20","623,64","603,30","","-1,11%"
"14.11.2025","615,20","619,78","620,75","593,09","","-0,74%"
"13.11.2025","619,78","636,97","640,21","614,25","","-2,70%"
"12.11.2025","636,97","614,23","643,13","613,65","","3,70%"
"11.11.2025","614,23","607,27","615,83","599,51","","1,15%"
"10.11.2025","607,27","579,51","610,82","579,51","","4,79%"
"07.11.2025","579,51","566,62","579,56","564,74","","2,27%"
"06.11.2025","566,62","566,52","582,65","566,39","","0,02%"
"05.11.2025","566,52","552,59","568,54","552,59","","2,52%"
"04.11.2025","552,59","578,81","578,81","552,12","","-4,53%"
"03.11.2025","578,81","580,85","587,11","572,17","","-0,35%"
"31.10.2025","580,85","589,18","589,18","574,64","","-1,41%"
"30.10.2025","589,18","573,02","592,44","570,80","","2,82%"
"29.10.2025","573,02","572,69","587,49","569,44","","0,06%"
"28.10.2025","572,69","566,03","575,56","556,16","","1,18%"
"27.10.2025","566,03","589,91","589,91","550,10","","-4,05%"
"24.10.2025","589,91","598,34","598,34","581,99","","-1,41%"
"23.10.2025","598,34","592,62","604,66","592,62","","0,97%"
"22.10.2025","592,62","590,30","595,21","573,65","","0,39%"
"21.10.2025","590,30","655,97","655,97","586,61","","-10,01%"
"20.10.2025","655,97","636,88","656,86","636,88","","3,00%"
"17.10.2025","636,88","687,26","687,26","626,34","","-7,33%"
"16.10.2025","687,26","666,44","693,11","666,44","","3,12%"
"15.10.2025","666,44","640,29","671,33","640,29","","4,08%"
"14.10.2025","640,29","642,06","649,32","630,34","","-0,28%"
"13.10.2025","642,06","613,23","643,23","613,23","","4,70%"
"10.10.2025","613,23","610,04","620,57","607,81","","0,52%"
"09.10.2025","610,04","638,72","642,46","603,69","","-4,49%"
"08.10.2025","638,72","621,20","639,56","621,20","","2,82%"
"07.10.2025","621,20","631,63","633,00","618,12","","-1,65%"
"06.10.2025","631,63","620,10","639,56","620,10","","1,86%"
"03.10.2025","620,10","617,54","626,13","616,34","","0,41%"
"02.10.2025","617,54","620,61","626,13","595,75","","-0,49%"
"01.10.2025","620,61","611,20","625,45","611,20","","1,54%"
"30.09.2025","611,20","608,10","617,83","597,63","","0,51%"
"29.09.2025","608,10","604,46","620,23","604,46","","0,60%"
"26.09.2025","604,46","589,92","605,08","589,92","","2,46%"
"25.09.2025","589,92","583,24","591,37","580,92","","1,15%"
"24.09.2025","583,24","596,43","598,71","582,18","","-2,21%"
"23.09.2025","596,43","595,08","608,12","594,12","","0,23%"
"22.09.2025","595,08","577,67","596,49","577,67","","3,01%"
"19.09.2025","577,67","553,64","578,58","553,64","","4,34%"
"18.09.2025","553,64","553,87","553,90","542,81","","-0,04%"
"17.09.2025","553,87","555,71","565,04","546,91","","-0,33%"
"16.09.2025","555,71","569,01","569,01","554,64","","-2,34%"
"15.09.2025","569,01","559,32","570,49","556,11","","1,73%"
"12.09.2025","559,32","560,65","564,74","555,58","","-0,24%"
"11.09.2025","560,65","550,85","561,00","547,10","","1,78%"
