"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.12.2025","0,7274","0,7263","0,7283","0,7256","","0,16%"
"15.12.2025","0,7263","0,7264","0,7275","0,7252","","0,03%"
"12.12.2025","0,7261","0,7261","0,7272","0,7249","","-0,01%"
"11.12.2025","0,7262","0,7251","0,7270","0,7234","","0,15%"
"10.12.2025","0,7251","0,7221","0,7255","0,7208","","0,40%"
"09.12.2025","0,7222","0,7218","0,7235","0,7214","","0,07%"
"08.12.2025","0,7217","0,7232","0,7247","0,7215","","-0,29%"
"05.12.2025","0,7238","0,7164","0,7239","0,7162","","1,03%"
"04.12.2025","0,7164","0,7168","0,7182","0,7154","","-0,06%"
"03.12.2025","0,7168","0,7157","0,7175","0,7155","","0,13%"
"02.12.2025","0,7159","0,7144","0,7160","0,7135","","0,21%"
"01.12.2025","0,7144","0,7156","0,7166","0,7141","","-0,18%"
"28.11.2025","0,7157","0,7127","0,7175","0,7116","","0,41%"
"27.11.2025","0,7128","0,7121","0,7129","0,7117","","0,10%"
"26.11.2025","0,7121","0,7094","0,7126","0,7089","","0,38%"
"25.11.2025","0,7094","0,7087","0,7098","0,7079","","0,07%"
"24.11.2025","0,7089","0,7091","0,7097","0,7083","","-0,03%"
"21.11.2025","0,7091","0,7094","0,7102","0,7076","","-0,04%"
"20.11.2025","0,7094","0,7118","0,7123","0,7088","","-0,32%"
"19.11.2025","0,7117","0,7149","0,7152","0,7109","","-0,45%"
"18.11.2025","0,7149","0,7115","0,7158","0,7111","","0,48%"
"17.11.2025","0,7115","0,7130","0,7136","0,7113","","-0,22%"
"14.11.2025","0,7131","0,7125","0,7136","0,7119","","0,08%"
"13.11.2025","0,7125","0,7140","0,7151","0,7123","","-0,21%"
"12.11.2025","0,7140","0,7134","0,7148","0,7131","","0,10%"
"11.11.2025","0,7133","0,7130","0,7142","0,7121","","0,01%"
"10.11.2025","0,7132","0,7121","0,7143","0,7113","","0,20%"
"07.11.2025","0,7118","0,7085","0,7130","0,7079","","0,48%"
"06.11.2025","0,7084","0,7089","0,7098","0,7071","","-0,06%"
"05.11.2025","0,7088","0,7091","0,7093","0,7071","","-0,04%"
"04.11.2025","0,7091","0,7115","0,7116","0,7088","","-0,34%"
"03.11.2025","0,7115","0,7141","0,7141","0,7104","","-0,32%"
"31.10.2025","0,7138","0,7150","0,7154","0,7125","","-0,17%"
"30.10.2025","0,7150","0,7172","0,7181","0,7135","","-0,31%"
"29.10.2025","0,7172","0,7171","0,7201","0,7165","","0,01%"
"28.10.2025","0,7171","0,7148","0,7178","0,7140","","0,32%"
"27.10.2025","0,7148","0,7144","0,7159","0,7134","","0,04%"
"24.10.2025","0,7145","0,7148","0,7157","0,7123","","-0,03%"
"23.10.2025","0,7147","0,7146","0,7154","0,7140","","0,01%"
"22.10.2025","0,7146","0,7131","0,7156","0,7126","","0,21%"
"21.10.2025","0,7131","0,7125","0,7141","0,7109","","0,10%"
"20.10.2025","0,7124","0,7131","0,7141","0,7116","","-0,11%"
"17.10.2025","0,7132","0,7117","0,7139","0,7108","","0,24%"
"16.10.2025","0,7115","0,7122","0,7132","0,7111","","-0,08%"
"15.10.2025","0,7121","0,7120","0,7130","0,7112","","0,01%"
"14.10.2025","0,7120","0,7125","0,7130","0,7102","","-0,07%"
"13.10.2025","0,7125","0,7143","0,7153","0,7122","","-0,20%"
"10.10.2025","0,7139","0,7132","0,7156","0,7125","","0,10%"
"09.10.2025","0,7132","0,7167","0,7178","0,7126","","-0,50%"
"08.10.2025","0,7168","0,7169","0,7179","0,7157","","-0,01%"
"07.10.2025","0,7169","0,7172","0,7175","0,7161","","-0,04%"
"06.10.2025","0,7172","0,7164","0,7174","0,7159","","0,06%"
"03.10.2025","0,7168","0,7159","0,7175","0,7158","","0,13%"
"02.10.2025","0,7159","0,7177","0,7178","0,7149","","-0,25%"
