"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.12.2025","2.499,97","2.516,08","2.516,24","2.498,12","","-0,65%"
"15.12.2025","2.516,43","2.519,16","2.529,50","2.512,92","","-0,10%"
"14.12.2025","2.518,96","2.519,16","2.519,23","2.518,95","","-0,03%"
"12.12.2025","2.519,59","2.534,70","2.542,52","2.513,00","","-0,62%"
"11.12.2025","2.535,32","2.528,42","2.535,37","2.518,26","","0,40%"
"10.12.2025","2.525,14","2.511,18","2.532,09","2.508,36","","0,56%"
"09.12.2025","2.510,98","2.514,72","2.518,28","2.510,52","","-0,14%"
"08.12.2025","2.514,59","2.520,98","2.524,51","2.510,74","","-0,24%"
"07.12.2025","2.520,76","2.520,98","2.521,07","2.520,69","","-0,02%"
"05.12.2025","2.521,22","2.518,33","2.530,14","2.516,20","","0,05%"
"04.12.2025","2.520,05","2.511,16","2.520,27","2.510,89","","0,37%"
"03.12.2025","2.510,64","2.501,68","2.513,69","2.500,13","","0,39%"
"02.12.2025","2.501,00","2.496,15","2.506,81","2.495,94","","0,14%"
"01.12.2025","2.497,50","2.507,54","2.508,44","2.494,29","","-0,41%"
"30.11.2025","2.507,81","2.507,54","2.507,94","2.507,43","","-0,01%"
"28.11.2025","2.508,02","2.496,55","2.508,05","2.494,80","","0,46%"
"27.11.2025","2.496,64","2.495,38","2.498,65","2.494,90","","0,07%"
"26.11.2025","2.494,82","2.472,90","2.500,37","2.472,59","","0,93%"
"25.11.2025","2.471,77","2.448,73","2.474,38","2.443,76","","0,95%"
"24.11.2025","2.448,49","2.421,04","2.451,04","2.420,58","","1,14%"
"23.11.2025","2.420,84","2.421,04","2.421,11","2.420,72","","0,05%"
"21.11.2025","2.419,65","2.411,04","2.433,71","2.397,89","","0,30%"
"20.11.2025","2.412,45","2.433,43","2.471,87","2.410,74","","-0,88%"
"19.11.2025","2.433,95","2.431,82","2.448,18","2.423,78","","0,11%"
"18.11.2025","2.431,30","2.458,43","2.458,48","2.419,15","","-1,15%"
"17.11.2025","2.459,49","2.480,46","2.481,10","2.450,32","","-0,84%"
"16.11.2025","2.480,25","2.480,46","2.480,55","2.480,10","","0,03%"
"14.11.2025","2.479,39","2.489,56","2.489,71","2.456,82","","-0,48%"
"13.11.2025","2.491,31","2.519,95","2.524,89","2.487,18","","-1,15%"
"12.11.2025","2.520,19","2.513,33","2.523,51","2.513,24","","0,26%"
"11.11.2025","2.513,57","2.504,30","2.515,62","2.502,40","","0,40%"
"10.11.2025","2.503,58","2.470,38","2.506,74","2.469,83","","1,37%"
"09.11.2025","2.469,85","2.470,38","2.470,38","2.469,83","","-0,03%"
"07.11.2025","2.470,66","2.471,47","2.472,07","2.445,71","","-0,02%"
"06.11.2025","2.471,15","2.487,27","2.493,33","2.468,10","","-0,60%"
"05.11.2025","2.486,06","2.481,67","2.494,56","2.472,19","","0,13%"
"04.11.2025","2.482,71","2.510,22","2.510,28","2.480,14","","-1,11%"
"03.11.2025","2.510,58","2.506,60","2.516,41","2.500,75","","0,17%"
"02.11.2025","2.506,28","2.506,60","2.506,85","2.506,24","","-0,04%"
"31.10.2025","2.507,36","2.504,76","2.513,06","2.499,04","","0,12%"
"30.10.2025","2.504,44","2.523,72","2.527,29","2.504,07","","-0,90%"
"29.10.2025","2.527,10","2.526,52","2.534,56","2.514,55","","0,02%"
"28.10.2025","2.526,47","2.526,43","2.531,42","2.521,63","","0,04%"
"27.10.2025","2.525,55","2.499,87","2.526,66","2.499,69","","1,02%"
"26.10.2025","2.499,96","2.499,87","2.500,12","2.499,69","","0,02%"
"24.10.2025","2.499,38","2.484,06","2.503,71","2.483,87","","0,63%"
"23.10.2025","2.483,70","2.471,56","2.486,77","2.468,39","","0,48%"
"22.10.2025","2.471,83","2.481,78","2.483,06","2.461,34","","-0,43%"
"21.10.2025","2.482,42","2.484,62","2.488,49","2.477,41","","-0,10%"
"20.10.2025","2.484,84","2.455,23","2.486,31","2.455,05","","1,21%"
"19.10.2025","2.455,09","2.455,23","2.455,33","2.455,05","","-0,01%"
"17.10.2025","2.455,28","2.458,48","2.459,17","2.441,32","","-0,12%"
"16.10.2025","2.458,11","2.463,41","2.477,13","2.450,39","","-0,16%"
"15.10.2025","2.461,95","2.444,68","2.475,44","2.444,64","","0,75%"
"14.10.2025","2.443,68","2.449,68","2.453,13","2.418,60","","-0,23%"
"13.10.2025","2.449,29","2.426,42","2.452,73","2.421,76","","0,96%"
"12.10.2025","2.426,10","2.426,42","2.426,75","2.426,10","","-0,02%"
"10.10.2025","2.426,55","2.477,81","2.481,70","2.426,55","","-2,13%"
"09.10.2025","2.479,47","2.486,39","2.490,08","2.473,05","","-0,28%"
"08.10.2025","2.486,53","2.475,16","2.486,53","2.471,51","","0,41%"
"07.10.2025","2.476,41","2.486,29","2.489,28","2.472,70","","-0,43%"
