"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.12.2025","3.174,28","3.179,92","3.259,81","3.130,44","","0,40%"
"11.12.2025","3.161,50","3.062,24","3.196,41","3.050,25","","3,78%"
"10.12.2025","3.046,24","3.007,65","3.068,97","2.966,60","","1,65%"
"09.12.2025","2.996,82","2.905,08","3.001,80","2.897,62","","3,03%"
"08.12.2025","2.908,61","2.962,38","2.968,43","2.908,18","","-2,04%"
"05.12.2025","2.969,25","2.964,21","3.042,21","2.959,50","","0,18%"
"04.12.2025","2.964,06","2.964,17","2.966,53","2.920,57","","-0,17%"
"03.12.2025","2.969,07","2.977,53","3.018,34","2.965,70","","-0,35%"
"02.12.2025","2.979,63","3.012,22","3.016,75","2.912,67","","-1,17%"
"01.12.2025","3.014,94","3.016,64","3.054,46","2.997,30","","0,05%"
"28.11.2025","3.013,42","2.914,04","3.015,05","2.914,01","","3,47%"
"27.11.2025","2.912,32","2.917,01","2.918,01","2.909,46","","0,16%"
"26.11.2025","2.907,53","2.772,11","2.911,45","2.770,59","","4,68%"
"25.11.2025","2.777,54","2.753,93","2.800,62","2.743,45","","1,41%"
"24.11.2025","2.739,04","2.613,05","2.741,31","2.609,51","","5,32%"
"21.11.2025","2.600,57","2.599,73","2.628,19","2.568,85","","-0,66%"
"20.11.2025","2.617,86","2.726,56","2.762,93","2.613,34","","-3,62%"
"19.11.2025","2.716,20","2.685,65","2.765,85","2.680,26","","1,65%"
"18.11.2025","2.672,09","2.669,93","2.692,52","2.633,16","","-0,26%"
"17.11.2025","2.679,16","2.721,24","2.727,65","2.658,12","","-1,72%"
"14.11.2025","2.725,92","2.750,67","2.756,74","2.643,98","","-1,56%"
"13.11.2025","2.769,24","2.797,90","2.842,50","2.745,61","","-0,78%"
"12.11.2025","2.791,01","2.715,54","2.817,72","2.707,46","","2,99%"
"11.11.2025","2.710,10","2.702,26","2.720,31","2.671,26","","0,88%"
"10.11.2025","2.686,51","2.569,64","2.701,36","2.568,85","","4,93%"
"07.11.2025","2.560,26","2.514,67","2.563,67","2.504,74","","2,03%"
"06.11.2025","2.509,20","2.488,11","2.575,47","2.487,25","","1,23%"
"05.11.2025","2.478,81","2.421,23","2.486,51","2.419,09","","1,51%"
"04.11.2025","2.441,91","2.555,25","2.557,21","2.438,74","","-4,38%"
"03.11.2025","2.553,80","2.587,19","2.600,89","2.540,70","","-1,38%"
"31.10.2025","2.589,51","2.616,43","2.620,34","2.570,28","","-0,49%"
"30.10.2025","2.602,33","2.568,53","2.609,50","2.550,59","","0,96%"
