"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2026","4.217,17","4.187,03","4.272,31","4.187,03","","0,72%"
"24.02.2026","4.187,03","4.145,97","4.210,24","4.039,74","","0,99%"
"23.02.2026","4.145,97","4.000,97","4.158,33","4.000,97","","3,62%"
"20.02.2026","4.000,97","3.945,31","4.009,05","3.869,99","","1,41%"
"19.02.2026","3.945,31","3.896,41","3.952,40","3.854,46","","1,26%"
"18.02.2026","3.896,41","3.815,65","3.929,94","3.808,14","","2,12%"
"17.02.2026","3.815,65","3.926,88","3.926,88","3.719,47","","-2,83%"
"16.02.2026","3.926,88","3.913,57","3.933,20","3.913,57","","0,34%"
"13.02.2026","3.913,57","3.775,80","3.921,98","3.736,04","","3,65%"
"12.02.2026","3.775,80","3.997,54","4.007,98","3.772,29","","-5,55%"
"11.02.2026","3.997,54","3.897,35","4.018,61","3.897,35","","2,57%"
"10.02.2026","3.897,35","3.865,73","3.914,59","3.854,23","","0,82%"
"09.02.2026","3.865,73","3.657,92","3.871,31","3.657,92","","5,68%"
"06.02.2026","3.657,92","3.519,35","3.672,67","3.492,39","","3,94%"
"05.02.2026","3.519,35","3.745,20","3.745,20","3.513,32","","-6,03%"
"04.02.2026","3.745,20","3.724,80","3.820,95","3.634,83","","0,55%"
"03.02.2026","3.724,80","3.571,49","3.763,38","3.571,49","","4,29%"
"02.02.2026","3.571,49","3.630,16","3.652,20","3.514,41","","-1,62%"
"30.01.2026","3.630,16","4.099,32","4.099,32","3.601,78","","-11,44%"
"29.01.2026","4.099,32","4.229,04","4.285,49","4.014,56","","-3,07%"
"28.01.2026","4.229,04","4.100,78","4.234,91","4.100,78","","3,13%"
"27.01.2026","4.100,78","4.061,18","4.106,01","3.957,41","","0,98%"
"26.01.2026","4.061,18","4.020,72","4.201,37","4.020,72","","1,01%"
"23.01.2026","4.020,72","3.927,11","4.037,08","3.927,11","","2,38%"
"22.01.2026","3.927,11","3.831,52","3.957,68","3.796,40","","2,49%"
"21.01.2026","3.831,52","3.852,77","3.944,64","3.815,36","","-0,55%"
"20.01.2026","3.852,77","3.681,46","3.852,77","3.669,78","","4,65%"
"19.01.2026","3.681,46","3.652,06","3.681,71","3.652,06","","0,81%"
"16.01.2026","3.652,06","3.654,24","3.656,26","3.565,33","","-0,06%"
"15.01.2026","3.654,24","3.647,74","3.671,41","3.596,28","","0,18%"
"14.01.2026","3.647,74","3.632,18","3.689,76","3.598,68","","0,43%"
"13.01.2026","3.632,18","3.587,67","3.672,44","3.587,67","","1,24%"
"12.01.2026","3.587,67","3.465,68","3.620,70","3.465,68","","3,52%"
"09.01.2026","3.465,68","3.418,34","3.486,77","3.416,62","","1,38%"
"08.01.2026","3.418,34","3.420,18","3.420,18","3.340,18","","-0,05%"
"07.01.2026","3.420,18","3.447,70","3.454,28","3.314,88","","-0,80%"
"06.01.2026","3.447,70","3.314,42","3.447,93","3.311,65","","4,02%"
"05.01.2026","3.314,42","3.227,12","3.386,91","3.224,19","","2,71%"
"02.01.2026","3.227,12","3.231,74","3.271,09","3.152,90","","-0,14%"
"31.12.2025","3.231,74","3.266,61","3.280,68","3.225,46","","-1,07%"
"30.12.2025","3.266,61","3.241,08","3.304,27","3.222,56","","0,79%"
"29.12.2025","3.241,08","3.402,97","3.407,28","3.206,28","","-4,76%"
"26.12.2025","3.402,97","3.367,84","3.411,26","3.364,29","","1,04%"
"24.12.2025","3.367,84","3.380,43","3.388,37","3.329,47","","-0,37%"
"23.12.2025","3.380,43","3.372,51","3.391,56","3.337,01","","0,23%"
"22.12.2025","3.372,51","3.255,55","3.401,61","3.255,55","","3,59%"
"19.12.2025","3.255,55","3.189,53","3.284,13","3.181,80","","2,07%"
"18.12.2025","3.189,53","3.187,09","3.233,67","3.164,46","","0,08%"
"17.12.2025","3.187,09","3.146,57","3.210,16","3.146,57","","1,29%"
"16.12.2025","3.146,57","3.172,77","3.199,84","3.121,22","","-0,83%"
"15.12.2025","3.172,77","3.181,24","3.226,63","3.145,61","","-0,27%"
"12.12.2025","3.181,24","3.189,79","3.268,91","3.141,86","","-0,27%"
