"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.12.2025","84,82","85,08","86,30","84,75","5,34M","-0,04%"
"15.12.2025","84,85","86,51","86,75","83,72","21,77M","-0,95%"
"12.12.2025","85,66","88,50","88,50","84,24","26,74M","-0,70%"
"11.12.2025","86,26","83,20","87,44","83,12","30,00M","3,53%"
"10.12.2025","83,32","81,55","83,94","80,53","22,92M","1,68%"
"09.12.2025","81,94","79,29","82,07","79,29","19,29M","3,51%"
"08.12.2025","79,16","81,01","81,25","79,07","18,98M","-2,31%"
"05.12.2025","81,03","82,00","83,76","80,72","17,56M","-0,44%"
"04.12.2025","81,39","80,33","81,49","80,03","12,26M","0,41%"
"03.12.2025","81,06","82,13","82,92","80,93","17,56M","-0,67%"
"02.12.2025","81,61","82,47","82,96","79,30","25,47M","-1,46%"
"01.12.2025","82,82","83,95","84,03","82,12","20,53M","-0,49%"
"28.11.2025","83,23","82,26","83,28","81,77","15,91M","2,06%"
"26.11.2025","81,55","78,65","81,83","78,55","27,38M","4,82%"
"25.11.2025","77,80","77,31","78,54","76,86","14,94M","-0,21%"
"24.11.2025","77,96","74,15","78,00","74,07","24,49M","5,85%"
"21.11.2025","73,65","73,02","74,65","72,45","25,69M","0,93%"
"20.11.2025","72,97","76,74","77,74","72,94","34,69M","-4,48%"
"19.11.2025","76,39","76,95","78,18","75,52","21,96M","1,00%"
"18.11.2025","75,63","75,61","76,47","74,38","24,32M","0,91%"
"17.11.2025","74,95","75,64","76,97","74,19","25,84M","-1,59%"
"14.11.2025","76,16","73,54","76,91","73,25","28,84M","-1,16%"
"13.11.2025","77,05","79,49","79,74","76,42","30,35M","-2,78%"
"12.11.2025","79,25","76,75","79,97","76,29","33,32M","3,31%"
"11.11.2025","76,71","76,54","76,82","74,95","17,17M","0,96%"
"10.11.2025","75,98","75,24","76,46","74,62","30,85M","4,73%"
"07.11.2025","72,55","71,48","72,55","70,48","20,42M","2,53%"
"06.11.2025","70,76","71,27","72,71","70,70","22,01M","0,13%"
"05.11.2025","70,67","69,91","70,89","69,48","24,34M","3,50%"
"04.11.2025","68,28","69,34","69,63","68,20","28,77M","-4,24%"
"03.11.2025","71,30","71,72","72,43","70,72","15,63M","-1,05%"
"31.10.2025","72,06","72,91","72,92","71,15","20,88M","-1,15%"
"30.10.2025","72,90","70,92","73,06","70,51","25,17M","2,57%"
"29.10.2025","71,07","72,90","73,00","70,70","33,61M","0,07%"
"28.10.2025","71,02","68,64","71,24","68,42","28,61M","1,59%"
"27.10.2025","69,91","70,14","71,38","68,13","50,66M","-3,97%"
"24.10.2025","72,80","72,50","74,01","72,15","24,48M","-1,34%"
"23.10.2025","73,79","74,52","74,68","73,59","25,69M","1,15%"
"22.10.2025","72,95","70,48","73,32","70,28","48,00M","0,22%"
"21.10.2025","72,79","74,57","74,99","72,13","71,27M","-9,42%"
"20.10.2025","80,36","80,18","81,01","79,00","29,44M","2,07%"
"17.10.2025","78,73","82,17","82,42","77,18","70,60M","-6,76%"
"16.10.2025","84,44","82,46","85,08","81,72","39,78M","3,65%"
"15.10.2025","81,47","79,51","81,74","79,24","31,55M","3,85%"
"14.10.2025","78,45","78,03","79,40","77,61","20,13M","-1,16%"
"13.10.2025","79,37","78,07","79,46","77,96","26,09M","4,74%"
"10.10.2025","75,78","75,86","76,62","75,08","24,82M","0,22%"
"09.10.2025","75,61","79,19","79,33","74,58","40,97M","-4,47%"
"08.10.2025","79,15","78,68","79,15","77,59","25,68M","2,83%"
"07.10.2025","76,97","78,65","78,69","76,69","21,62M","-2,09%"
"06.10.2025","78,61","78,06","79,49","77,79","26,29M","1,98%"
"03.10.2025","77,08","77,32","77,76","76,53","15,11M","-0,03%"
"02.10.2025","77,10","78,29","78,32","74,10","41,79M","-0,04%"
"01.10.2025","77,13","77,11","77,96","76,59","22,63M","0,96%"
"30.09.2025","76,40","74,96","77,18","74,74","21,22M","0,90%"
"29.09.2025","75,72","76,58","76,87","75,36","24,06M","1,39%"
"26.09.2025","74,68","73,68","74,93","73,24","21,41M","2,12%"
"25.09.2025","73,13","72,31","73,20","72,01","23,27M","1,12%"
"24.09.2025","72,32","73,96","74,45","72,27","27,97M","-2,57%"
"23.09.2025","74,23","74,88","75,28","73,88","23,17M","-0,13%"
"22.09.2025","74,33","73,77","74,37","72,84","30,82M","2,72%"
"19.09.2025","72,36","68,92","72,53","68,89","36,43M","5,19%"
"18.09.2025","68,79","68,15","68,79","67,25","21,64M","0,19%"
"17.09.2025","68,66","68,24","69,93","67,77","28,27M","-0,52%"
"16.09.2025","69,02","70,57","70,64","68,63","22,74M","-2,07%"
"15.09.2025","70,48","69,30","70,76","69,15","16,30M","1,05%"
"12.09.2025","69,75","69,96","70,11","69,24","13,89M","-0,01%"
"11.09.2025","69,76","68,24","69,76","68,08","18,76M","1,84%"
"10.09.2025","68,50","67,47","68,59","67,46","18,30M","2,47%"
"09.09.2025","66,85","67,65","67,94","66,67","24,43M","-0,58%"
"08.09.2025","67,24","67,23","67,41","66,49","24,93M","1,36%"
"05.09.2025","66,34","66,00","66,87","65,16","31,72M","2,74%"
"04.09.2025","64,57","64,36","64,94","63,89","24,75M","-0,97%"
"03.09.2025","65,20","65,48","65,82","64,71","25,77M","0,62%"
"02.09.2025","64,80","64,39","65,07","63,20","41,94M","2,58%"
"29.08.2025","63,17","61,21","63,23","61,21","19,95M","3,00%"
"28.08.2025","61,33","61,40","61,62","60,70","15,85M","-0,24%"
"27.08.2025","61,48","61,05","61,48","60,47","10,69M","-0,19%"
"26.08.2025","61,60","60,56","61,60","60,44","17,60M","2,22%"
"25.08.2025","60,26","60,39","60,79","60,17","8,39M","0,13%"
"22.08.2025","60,18","58,78","60,68","58,38","19,54M","1,50%"
"21.08.2025","59,29","58,17","59,69","58,11","17,90M","1,66%"
"20.08.2025","58,32","57,24","58,33","57,19","15,49M","3,04%"
"19.08.2025","56,60","57,84","58,03","56,59","15,27M","-2,58%"
"18.08.2025","58,10","58,20","58,42","57,69","8,51M","-0,31%"
"15.08.2025","58,28","57,79","58,56","57,34","13,54M","1,01%"
"14.08.2025","57,70","57,65","58,53","57,42","11,23M","-0,64%"
"13.08.2025","58,07","58,65","58,77","57,87","10,71M","-0,24%"
"12.08.2025","58,21","57,83","58,23","57,37","11,59M","0,90%"
"11.08.2025","57,69","56,59","57,99","56,34","17,52M","-0,64%"
"08.08.2025","58,06","58,43","58,81","57,84","18,21M","0,21%"
"07.08.2025","57,94","57,91","58,48","57,61","22,57M","0,96%"
"06.08.2025","57,39","56,49","57,39","56,48","16,68M","1,65%"
"05.08.2025","56,46","54,61","56,65","54,57","32,07M","2,77%"
"04.08.2025","54,94","53,17","55,05","53,16","27,34M","4,75%"
"01.08.2025","52,45","52,74","53,06","51,94","20,41M","1,57%"
"31.07.2025","51,64","52,02","52,32","51,37","16,43M","-0,27%"
"30.07.2025","51,78","52,55","52,95","51,52","21,66M","-2,76%"
"29.07.2025","53,25","52,76","53,35","52,52","13,47M","1,25%"
"28.07.2025","52,59","53,15","53,34","52,14","20,46M","-2,54%"
"25.07.2025","53,96","52,92","53,98","52,85","25,49M","1,18%"
"24.07.2025","53,33","53,05","53,80","52,53","12,14M","-0,95%"
"23.07.2025","53,84","54,17","54,57","53,62","22,08M","-1,17%"
"22.07.2025","54,48","53,64","54,78","53,22","23,91M","2,75%"
"21.07.2025","53,02","51,94","53,35","51,93","22,67M","3,70%"
"18.07.2025","51,13","51,69","51,79","51,12","12,89M","-0,21%"
"17.07.2025","51,24","51,06","51,42","50,44","17,44M","-1,12%"
"16.07.2025","51,82","51,71","52,37","50,97","16,55M","0,39%"
"15.07.2025","51,62","52,46","52,60","50,78","20,15M","-1,58%"
"14.07.2025","52,45","52,42","53,30","52,38","13,30M","0,06%"
"11.07.2025","52,42","52,31","52,59","51,91","19,04M","1,00%"
"10.07.2025","51,90","51,68","51,90","50,97","13,67M","0,78%"
