"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2026","147,85","149,00","150,69","147,15","3,06M","0,52%"
"24.02.2026","147,08","141,59","148,45","141,59","4,32M","0,30%"
"23.02.2026","146,64","144,31","147,50","143,96","5,30M","3,26%"
"20.02.2026","142,01","138,64","142,15","135,67","5,28M","2,96%"
"19.02.2026","137,93","133,67","138,21","132,40","4,29M","2,88%"
"18.02.2026","134,07","133,81","135,39","132,59","3,73M","2,50%"
"17.02.2026","130,80","131,16","132,29","126,88","6,68M","-4,06%"
"13.02.2026","136,34","132,58","136,93","131,23","5,76M","5,81%"
"12.02.2026","128,85","138,87","139,78","128,64","8,76M","-8,73%"
"11.02.2026","141,17","140,59","141,60","135,90","4,72M","3,55%"
"10.02.2026","136,33","135,99","137,72","134,96","4,80M","-0,42%"
"09.02.2026","136,90","131,49","137,03","130,60","6,97M","6,49%"
"06.02.2026","128,56","124,82","128,72","124,61","6,49M","6,10%"
"05.02.2026","121,17","124,00","127,57","120,92","7,94M","-7,04%"
"04.02.2026","130,35","133,57","133,57","125,06","5,20M","0,38%"
"03.02.2026","129,86","132,24","132,24","126,29","8,18M","4,66%"
"02.02.2026","124,08","124,25","127,77","120,91","7,15M","-0,01%"
"30.01.2026","124,09","130,06","134,95","122,27","22,12M","-13,63%"
"29.01.2026","143,68","151,73","151,96","139,01","13,63M","-4,48%"
"28.01.2026","150,42","148,49","150,66","145,71","5,20M","2,04%"
"27.01.2026","147,42","144,66","147,80","139,47","6,46M","2,17%"
"26.01.2026","144,29","150,75","152,24","144,12","9,44M","-0,51%"
"23.01.2026","145,03","143,04","146,00","141,80","6,71M","2,07%"
"22.01.2026","142,09","134,72","143,04","134,48","9,14M","5,45%"
"21.01.2026","134,74","139,07","139,52","133,08","7,62M","-0,93%"
"20.01.2026","136,00","133,45","136,39","132,72","9,81M","6,19%"
"16.01.2026","128,07","126,07","128,19","123,36","4,00M","0,72%"
"15.01.2026","127,15","125,26","128,02","124,02","3,60M","0,37%"
"14.01.2026","126,68","128,98","129,05","124,83","4,30M","0,41%"
"13.01.2026","126,16","128,00","129,42","125,89","3,73M","-0,11%"
"12.01.2026","126,30","125,20","128,29","125,09","7,61M","3,57%"
"09.01.2026","121,95","120,84","122,88","120,34","4,79M","0,80%"
"08.01.2026","120,98","117,33","121,03","117,11","4,46M","0,66%"
"07.01.2026","120,19","118,10","120,32","115,92","3,83M","-1,39%"
"06.01.2026","121,88","118,36","121,94","118,11","4,81M","3,87%"
"05.01.2026","117,34","115,93","120,46","115,39","7,75M","3,66%"
"02.01.2026","113,20","116,26","116,48","110,04","5,02M","-0,51%"
"31.12.2025","113,78","114,65","116,70","113,63","3,02M","-1,18%"
"30.12.2025","115,14","117,11","117,72","114,89","4,85M","1,16%"
"29.12.2025","113,82","115,32","115,87","112,67","9,70M","-6,40%"
"26.12.2025","121,60","121,07","122,17","119,10","4,12M","2,21%"
"24.12.2025","118,97","119,28","119,68","116,71","3,19M","-0,86%"
"23.12.2025","120,00","120,33","120,44","117,80","4,75M","0,00%"
"22.12.2025","120,00","119,26","121,26","118,23","7,15M","2,01%"
