"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2026","91,65","92,12","92,77","91,26","66,45K","0,55%"
"24.02.2026","91,15","88,18","91,68","87,57","75,17K","1,12%"
"23.02.2026","90,14","87,96","90,14","87,96","64,80K","4,20%"
"20.02.2026","86,51","84,80","86,94","83,23","64,44K","1,93%"
"19.02.2026","84,87","83,74","84,88","82,61","75,47K","1,12%"
"18.02.2026","83,93","82,94","84,75","82,94","35,76K","2,75%"
"17.02.2026","81,68","81,09","82,65","79,42","92,08K","-3,66%"
"13.02.2026","84,78","81,95","84,78","81,04","63,40K","6,53%"
"12.02.2026","79,58","84,99","85,71","79,58","71,88K","-7,51%"
"11.02.2026","86,04","85,54","86,40","83,50","81,11K","2,14%"
"10.02.2026","84,24","83,00","84,53","82,75","62,59K","1,52%"
"09.02.2026","82,98","79,92","83,25","79,92","88,43K","5,14%"
"06.02.2026","78,92","76,79","79,11","76,79","145,79K","5,73%"
"05.02.2026","74,64","76,00","78,39","74,64","86,42K","-6,41%"
"04.02.2026","79,75","81,78","81,78","76,60","74,56K","0,54%"
"03.02.2026","79,32","81,38","81,38","77,55","96,07K","4,23%"
"02.02.2026","76,10","74,91","78,71","74,69","138,55K","0,11%"
"30.01.2026","76,02","80,00","81,96","75,62","258,61K","-13,10%"
"29.01.2026","87,48","92,69","92,72","85,38","182,79K","-3,88%"
"28.01.2026","91,01","90,26","91,21","88,50","150,43K","2,65%"
"27.01.2026","88,66","87,76","88,66","84,49","138,12K","1,69%"
"26.01.2026","87,19","89,32","90,77","87,00","158,30K","0,48%"
"23.01.2026","86,77","86,38","87,06","85,36","131,19K","2,03%"
"22.01.2026","85,04","82,18","86,00","82,18","93,44K","3,48%"
"21.01.2026","82,18","86,00","86,00","81,63","111,52K","-1,92%"
"20.01.2026","83,79","83,17","83,79","82,00","134,34K","6,86%"
"16.01.2026","78,41","78,00","78,81","76,59","88,51K","0,14%"
"15.01.2026","78,30","78,16","79,14","77,30","88,84K","-0,27%"
"14.01.2026","78,51","80,10","80,10","76,74","72,13K","0,40%"
"13.01.2026","78,20","78,11","79,10","77,70","44,73K","0,77%"
"12.01.2026","77,60","77,06","78,30","76,12","70,64K","3,50%"
"09.01.2026","74,98","74,33","75,47","74,00","44,68K","1,32%"
"08.01.2026","74,00","72,08","74,00","71,66","54,50K","0,33%"
"07.01.2026","73,76","72,55","73,76","71,10","56,70K","-0,26%"
"06.01.2026","73,95","72,00","73,99","72,00","62,21K","4,04%"
"05.01.2026","71,08","70,77","73,00","70,37","95,86K","2,54%"
"02.01.2026","69,32","71,32","71,32","67,44","61,69K","-0,45%"
"31.12.2025","69,63","70,46","71,02","69,50","36,03K","-1,58%"
"30.12.2025","70,75","71,01","71,76","70,50","60,58K","0,75%"
"29.12.2025","70,22","71,03","71,32","69,36","86,36K","-5,71%"
"26.12.2025","74,47","74,20","74,47","72,87","35,47K","1,64%"
"25.12.2025","73,27","73,27","73,27","73,27","25,74K","0,00%"
"24.12.2025","73,27","73,27","73,27","72,13","25,74K","-0,60%"
"23.12.2025","73,71","73,76","73,76","72,42","61,72K","0,92%"
