"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.12.2025","50,80","51,10","51,51","50,75","247,28K","-0,22%"
"15.12.2025","50,91","51,94","51,94","50,45","728,92K","-0,08%"
"12.12.2025","50,95","52,64","52,64","50,36","788,75K","-0,91%"
"11.12.2025","51,42","49,60","52,01","49,40","662,63K","3,73%"
"10.12.2025","49,57","48,83","49,88","48,28","859,08K","0,75%"
"09.12.2025","49,20","47,75","49,20","47,74","540,55K","3,32%"
"08.12.2025","47,62","48,44","48,69","47,62","349,93K","-1,92%"
"05.12.2025","48,55","49,39","50,13","48,43","1,05M","-1,34%"
"04.12.2025","49,21","48,45","49,26","48,38","338,56K","0,92%"
"03.12.2025","48,76","49,57","49,82","48,72","336,96K","-0,81%"
"02.12.2025","49,16","49,96","50,05","47,92","538,66K","-2,13%"
"01.12.2025","50,23","50,60","50,70","49,75","586,82K","-0,18%"
"28.11.2025","50,32","49,87","50,32","49,47","598,32K","1,57%"
"27.11.2025","49,54","49,57","49,60","49,23","706,60K","-0,24%"
"26.11.2025","49,66","48,00","49,67","48,00","1,16M","4,50%"
"25.11.2025","47,52","47,20","47,78","46,97","523,69K","0,21%"
"24.11.2025","47,42","45,54","47,44","45,40","743,16K","5,45%"
"21.11.2025","44,97","44,59","45,45","44,24","918,61K","0,83%"
"20.11.2025","44,60","47,06","47,35","44,60","757,17K","-4,78%"
"19.11.2025","46,84","46,97","47,70","46,36","582,68K","1,61%"
"18.11.2025","46,10","46,31","46,60","45,49","426,94K","0,50%"
"17.11.2025","45,87","46,36","47,00","45,57","482,54K","-1,40%"
"14.11.2025","46,52","44,76","46,87","44,76","584,28K","-0,75%"
"13.11.2025","46,87","48,35","48,35","46,57","507,36K","-2,44%"
"12.11.2025","48,04","46,48","48,36","46,37","867,27K","3,56%"
"11.11.2025","46,39","46,34","46,53","45,37","469,14K","1,20%"
"10.11.2025","45,84","45,30","46,08","45,14","1,30M","4,75%"
"07.11.2025","43,76","43,28","43,76","42,80","378,71K","1,44%"
"06.11.2025","43,14","43,47","44,21","43,12","306,69K","0,12%"
"05.11.2025","43,09","42,54","43,22","42,54","447,19K","3,48%"
"04.11.2025","41,64","42,17","42,43","41,63","689,58K","-3,81%"
"03.11.2025","43,29","43,17","43,75","42,90","242,25K","0,07%"
"31.10.2025","43,26","43,79","43,81","42,90","295,16K","-1,07%"
"30.10.2025","43,73","42,47","43,88","42,47","317,34K","2,68%"
"29.10.2025","42,59","43,66","43,72","42,29","491,57K","0,28%"
"28.10.2025","42,47","41,22","42,68","41,22","360,56K","0,76%"
"27.10.2025","42,15","42,45","43,00","41,20","854,22K","-4,49%"
"24.10.2025","44,13","44,02","44,71","43,47","901,77K","-1,34%"
"23.10.2025","44,73","44,98","45,24","44,50","752,44K","1,41%"
"22.10.2025","44,11","42,61","44,30","42,56","1,45M","0,27%"
"21.10.2025","43,99","45,21","45,35","43,74","1,50M","-9,69%"
"20.10.2025","48,71","48,53","48,93","47,85","829,68K","2,76%"
"17.10.2025","47,40","50,00","50,00","46,71","1,47M","-7,30%"
"16.10.2025","51,13","50,00","51,48","49,68","920,06K","3,52%"
"15.10.2025","49,39","48,29","49,50","48,17","598,00K","3,67%"
"14.10.2025","47,64","46,98","48,15","46,98","1,04M","4,34%"
"10.10.2025","45,66","45,76","45,95","45,18","1,05M","0,35%"
"09.10.2025","45,50","47,55","47,56","45,03","2,83M","-3,99%"
"08.10.2025","47,39","47,52","47,56","46,78","1,02M","2,05%"
"07.10.2025","46,44","47,43","47,43","46,18","389,27K","-1,61%"
"06.10.2025","47,20","47,05","47,73","47,05","686,39K","1,42%"
"03.10.2025","46,54","46,70","46,92","46,21","542,63K","0,22%"
"02.10.2025","46,44","47,14","47,14","44,88","1,07M","-0,19%"
"01.10.2025","46,53","46,46","46,92","46,26","826,89K","1,28%"
"30.09.2025","45,94","45,34","46,30","45,00","624,37K","0,61%"
"29.09.2025","45,66","46,52","46,61","45,44","522,39K","0,57%"
"26.09.2025","45,40","44,77","45,46","44,58","424,51K","2,09%"
"25.09.2025","44,47","43,97","44,63","43,80","1,65M","1,18%"
"24.09.2025","43,95","45,08","45,14","43,95","411,94K","-2,16%"
"23.09.2025","44,92","45,20","45,55","44,79","583,89K","0,32%"
"22.09.2025","44,78","44,71","44,88","43,95","981,67K","2,62%"
"19.09.2025","43,63","41,93","43,67","41,93","439,04K","5,08%"
"18.09.2025","41,52","41,20","41,55","40,76","492,63K","0,34%"
"17.09.2025","41,38","40,93","41,93","40,74","754,12K","-0,14%"
"16.09.2025","41,44","42,38","42,38","41,28","468,74K","-1,94%"
"15.09.2025","42,26","41,95","42,47","41,67","564,98K","0,64%"
"12.09.2025","41,99","42,44","42,44","41,80","266,45K","-0,31%"
"11.09.2025","42,12","41,67","42,13","41,35","386,95K","1,03%"
"10.09.2025","41,69","41,08","41,75","41,08","257,67K","2,21%"
"09.09.2025","40,79","41,34","41,34","40,58","460,72K","-0,20%"
"08.09.2025","40,87","40,95","41,03","40,47","533,58K","1,26%"
"05.09.2025","40,36","39,96","40,57","39,61","528,91K","2,75%"
"04.09.2025","39,28","39,14","39,49","38,80","579,49K","-0,63%"
"03.09.2025","39,53","39,80","39,83","39,20","347,86K","0,79%"
"02.09.2025","39,22","38,97","39,34","38,30","1,50M","2,67%"
"29.08.2025","38,20","37,28","38,25","37,28","191,21K","2,80%"
"28.08.2025","37,16","37,49","37,49","36,93","256,32K","-0,67%"
"27.08.2025","37,41","37,43","37,47","37,04","514,88K","-0,56%"
"26.08.2025","37,62","37,06","37,62","36,98","160,44K","1,81%"
"25.08.2025","36,95","36,83","37,15","36,81","186,86K","0,33%"
"22.08.2025","36,83","36,36","37,07","36,10","231,40K","0,90%"
"21.08.2025","36,50","35,76","36,66","35,76","448,07K","2,27%"
"20.08.2025","35,69","35,13","35,71","35,08","244,27K","2,68%"
"19.08.2025","34,76","35,62","35,62","34,75","313,24K","-2,28%"
"18.08.2025","35,57","35,60","35,67","35,31","135,16K","-0,03%"
"15.08.2025","35,58","35,21","35,67","34,94","729,84K","0,94%"
"14.08.2025","35,25","35,21","35,65","35,10","205,46K","-0,34%"
"13.08.2025","35,37","35,79","35,82","35,25","247,05K","-0,76%"
"12.08.2025","35,64","35,55","35,64","35,11","353,51K","0,71%"
"11.08.2025","35,39","34,67","35,51","34,52","550,42K","-0,28%"
"08.08.2025","35,49","35,79","35,91","35,21","599,71K","0,37%"
"07.08.2025","35,36","35,41","35,62","35,21","683,00K","1,14%"
"06.08.2025","34,96","34,44","34,98","34,44","282,34K","1,13%"
"05.08.2025","34,57","33,24","34,65","33,24","1,05M","7,96%"
"01.08.2025","32,02","32,20","32,38","31,74","1,28M","1,04%"
"31.07.2025","31,69","31,89","32,08","31,50","1,06M","0,16%"
"30.07.2025","31,64","32,10","32,37","31,47","904,25K","-2,32%"
"29.07.2025","32,39","32,07","32,40","31,88","481,34K","1,44%"
"28.07.2025","31,93","32,38","32,38","31,53","622,54K","-1,96%"
"25.07.2025","32,57","31,83","32,62","31,83","301,16K","1,72%"
"24.07.2025","32,02","31,89","32,25","31,50","158,03K","-0,59%"
"23.07.2025","32,21","32,49","32,71","32,11","407,54K","-1,11%"
"22.07.2025","32,57","32,01","32,70","31,91","934,75K","2,49%"
"21.07.2025","31,78","31,20","32,05","31,20","608,32K","3,22%"
"18.07.2025","30,79","31,00","31,05","30,75","537,59K","-0,39%"
"17.07.2025","30,91","30,80","31,00","30,49","851,24K","-0,58%"
"16.07.2025","31,09","31,15","31,38","30,77","931,32K","-0,10%"
"15.07.2025","31,12","31,59","31,60","30,60","989,97K","-1,43%"
"14.07.2025","31,57","31,69","32,05","31,52","534,73K","0,22%"
"11.07.2025","31,50","31,38","31,58","31,22","354,48K","1,25%"
"10.07.2025","31,11","31,13","31,14","30,70","179,92K","0,45%"
"09.07.2025","30,97","30,59","31,08","30,35","325,38K","1,44%"
"08.07.2025","30,53","31,95","31,95","30,25","793,93K","-4,55%"
"07.07.2025","31,99","31,26","32,01","30,82","320,60K","1,48%"
"04.07.2025","31,52","31,43","31,59","31,43","71,34K","0,32%"
"03.07.2025","31,42","31,01","31,47","31,01","720,49K","0,58%"
"02.07.2025","31,24","31,29","31,33","30,83","404,81K","0,84%"
"30.06.2025","30,98","30,36","31,00","30,27","324,13K","2,18%"
"27.06.2025","30,32","30,68","30,68","30,09","774,00K","-3,62%"
"26.06.2025","31,46","31,16","31,46","31,04","2,27M","0,96%"
"25.06.2025","31,16","31,15","31,39","31,00","123,20K","-0,35%"
"24.06.2025","31,27","31,25","31,47","30,59","411,99K","-2,43%"
"23.06.2025","32,05","31,88","32,54","31,82","222,26K","1,17%"
"20.06.2025","31,68","31,72","32,21","31,63","418,22K","0,22%"
"19.06.2025","31,61","31,75","31,85","31,56","178,63K","-0,75%"
"18.06.2025","31,85","32,00","32,10","31,76","571,10K","-0,31%"
"17.06.2025","31,95","32,02","32,04","31,56","692,76K","0,13%"
"16.06.2025","31,91","31,87","32,08","31,73","336,95K","-0,96%"
"13.06.2025","32,22","32,11","32,27","31,85","233,01K","1,93%"
"12.06.2025","31,61","31,19","31,72","31,13","250,89K","2,56%"
"11.06.2025","30,82","30,55","30,82","30,50","192,21K","0,98%"
"10.06.2025","30,52","31,09","31,23","30,35","422,25K","-1,55%"
"09.06.2025","31,00","30,83","31,11","30,60","861,75K","0,55%"
"06.06.2025","30,83","31,77","31,77","30,74","332,96K","-2,65%"
"05.06.2025","31,67","32,03","32,55","31,50","477,23K","-0,28%"
"04.06.2025","31,76","31,88","31,88","31,59","160,20K","0,06%"
"03.06.2025","31,74","31,54","31,77","31,28","424,99K","-0,53%"
"02.06.2025","31,91","30,70","31,96","30,70","513,10K","5,73%"
"30.05.2025","30,18","30,06","30,31","29,78","525,65K","-0,03%"
"29.05.2025","30,19","30,37","30,47","30,08","302,53K","-0,51%"
"28.05.2025","30,34","30,10","30,34","29,96","493,65K","1,08%"
"27.05.2025","30,02","29,52","30,15","29,52","363,87K","-0,73%"
"26.05.2025","30,24","30,12","30,42","29,90","410,96K","0,20%"
"23.05.2025","30,18","30,21","30,32","29,92","600,37K","1,55%"
"22.05.2025","29,72","29,93","29,93","29,50","236,10K","-0,77%"
"21.05.2025","29,95","29,70","30,01","29,61","275,38K","1,25%"
"20.05.2025","29,58","28,68","29,59","28,68","902,39K","4,65%"
"16.05.2025","28,26","27,69","28,26","27,56","513,85K","0,11%"
"15.05.2025","28,24","27,86","28,24","27,75","417,89K","2,12%"
"14.05.2025","27,65","27,67","27,70","27,36","698,04K","-2,12%"
"13.05.2025","28,25","28,41","28,43","28,09","432,94K","-0,44%"
"12.05.2025","28,38","29,28","29,28","28,25","1,08M","-7,48%"
"09.05.2025","30,67","30,11","30,69","29,87","572,65K","3,06%"
"08.05.2025","29,76","30,29","30,29","29,72","313,47K","-1,86%"
"07.05.2025","30,33","29,92","30,42","29,80","521,25K","-0,54%"
"06.05.2025","30,49","30,00","30,52","29,74","608,40K","3,53%"
