"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","2.602,47","2.455,84","2.607,90","2.430,47","","6,02%"
"22.03.2026","2.454,64","2.306,06","2.508,65","2.289,04","","5,85%"
"15.03.2026","2.319,00","2.679,85","2.757,01","2.294,37","","-13,90%"
"08.03.2026","2.693,26","2.897,67","3.012,87","2.682,40","","-7,46%"
"01.03.2026","2.910,24","3.310,20","3.338,50","2.829,70","","-11,80%"
"22.02.2026","3.299,41","3.030,67","3.306,91","3.028,31","","9,10%"
"15.02.2026","3.024,14","2.962,57","3.030,31","2.811,85","","2,23%"
"08.02.2026","2.958,08","2.777,93","3.038,31","2.776,58","","6,99%"
"01.02.2026","2.764,85","2.721,86","2.888,16","2.639,66","","0,76%"
"25.01.2026","2.743,86","3.042,26","3.238,92","2.722,19","","-9,71%"
"18.01.2026","3.039,09","2.769,55","3.051,63","2.766,74","","10,09%"
"11.01.2026","2.760,43","2.628,61","2.788,19","2.627,26","","5,38%"
"04.01.2026","2.619,57","2.439,06","2.635,55","2.436,96","","7,39%"
"28.12.2025","2.439,25","2.571,10","2.575,58","2.383,20","","-5,17%"
"21.12.2025","2.572,35","2.466,52","2.578,83","2.465,60","","4,53%"
"14.12.2025","2.460,91","2.400,30","2.482,43","2.359,38","","2,34%"
"07.12.2025","2.404,74","2.281,92","2.471,59","2.226,58","","5,24%"
"30.11.2025","2.284,96","2.317,34","2.350,23","2.236,33","","-1,41%"
"23.11.2025","2.317,74","2.068,83","2.318,80","2.066,27","","12,34%"
"16.11.2025","2.063,11","2.157,80","2.193,46","2.033,40","","-4,41%"
"09.11.2025","2.158,20","2.032,01","2.245,18","2.031,96","","6,45%"
"02.11.2025","2.027,51","2.009,01","2.036,12","1.913,17","","0,67%"
"26.10.2025","2.013,97","2.048,53","2.050,98","1.932,00","","-1,53%"
"19.10.2025","2.045,32","2.188,67","2.248,96","1.990,05","","-7,04%"
"12.10.2025","2.200,29","2.122,73","2.356,36","2.117,35","","3,96%"
"05.10.2025","2.116,50","2.159,03","2.221,77","2.099,56","","-1,86%"
"28.09.2025","2.156,51","2.085,91","2.180,27","2.085,90","","3,40%"
"21.09.2025","2.085,57","2.010,10","2.111,50","2.009,96","","3,74%"
"14.09.2025","2.010,36","1.951,28","2.013,36","1.890,98","","3,04%"
"07.09.2025","1.951,05","1.857,09","1.966,47","1.854,85","","5,05%"
"31.08.2025","1.857,26","1.764,23","1.869,86","1.764,18","","5,29%"
"24.08.2025","1.764,03","1.682,83","1.767,28","1.682,75","","4,82%"
"17.08.2025","1.682,97","1.638,99","1.692,13","1.589,83","","2,66%"
"10.08.2025","1.639,35","1.635,18","1.650,20","1.586,72","","0,25%"
"03.08.2025","1.635,27","1.467,53","1.652,66","1.467,53","","11,45%"
"27.07.2025","1.467,33","1.510,27","1.512,16","1.442,29","","-2,82%"
"20.07.2025","1.509,95","1.437,21","1.536,18","1.434,57","","5,03%"
"13.07.2025","1.437,61","1.468,86","1.493,35","1.420,13","","-2,12%"
"06.07.2025","1.468,79","1.484,21","1.494,93","1.417,35","","-1,07%"
"29.06.2025","1.484,65","1.424,67","1.485,69","1.422,39","","4,21%"
"22.06.2025","1.424,66","1.474,21","1.505,28","1.415,54","","-3,40%"
"15.06.2025","1.474,85","1.531,44","1.533,43","1.473,19","","-3,71%"
"08.06.2025","1.531,66","1.456,71","1.535,89","1.438,14","","5,16%"
"01.06.2025","1.456,48","1.416,63","1.531,35","1.416,06","","2,85%"
"25.05.2025","1.416,16","1.418,39","1.423,25","1.391,08","","-0,14%"
"18.05.2025","1.418,11","1.302,71","1.422,67","1.302,64","","8,90%"
"11.05.2025","1.302,24","1.414,60","1.414,60","1.271,38","","-7,93%"
"04.05.2025","1.414,43","1.327,91","1.423,13","1.327,21","","6,46%"
"27.04.2025","1.328,61","1.372,78","1.383,95","1.318,86","","-3,22%"
"20.04.2025","1.372,82","1.434,00","1.481,22","1.345,91","","-4,21%"
"13.04.2025","1.433,15","1.397,68","1.479,18","1.372,74","","2,65%"
"06.04.2025","1.396,17","1.179,14","1.407,75","1.169,15","","18,07%"
"30.03.2025","1.182,52","1.290,83","1.291,03","1.177,74","","-7,94%"
"23.03.2025","1.284,45","1.249,16","1.316,40","1.249,12","","2,46%"
"16.03.2025","1.253,63","1.255,05","1.271,51","1.238,22","","2,41%"
"09.03.2025","1.224,07","1.137,67","1.231,43","1.137,65","","4,60%"
"02.03.2025","1.170,25","1.121,67","1.188,27","1.121,67","","4,44%"
"23.02.2025","1.120,46","1.152,66","1.160,72","1.091,32","","-3,03%"
"16.02.2025","1.155,51","1.163,44","1.200,11","1.154,13","","-1,05%"
"09.02.2025","1.167,76","1.156,38","1.203,80","1.155,71","","1,05%"
"02.02.2025","1.155,59","1.094,78","1.175,18","1.093,90","","5,13%"
"26.01.2025","1.099,18","1.072,43","1.116,42","1.045,75","","2,42%"
"19.01.2025","1.073,20","1.039,22","1.078,45","1.036,52","","3,27%"
"12.01.2025","1.039,17","1.016,82","1.046,20","995,78","","2,23%"
"05.01.2025","1.016,47","988,32","1.038,20","974,61","","3,01%"
"29.12.2024","986,77","966,10","996,71","946,18","","2,07%"
"22.12.2024","966,74","967,45","976,91","956,88","","0,01%"
"15.12.2024","966,63","1.025,37","1.026,44","954,02","","-5,93%"
"08.12.2024","1.027,58","1.029,14","1.087,63","1.022,85","","-0,20%"
"01.12.2024","1.029,59","1.043,55","1.057,99","1.023,20","","-1,64%"
"24.11.2024","1.046,75","1.071,90","1.071,91","1.028,78","","-2,20%"
"17.11.2024","1.070,33","992,07","1.075,83","992,05","","8,08%"
"10.11.2024","990,34","1.091,05","1.091,56","981,47","","-9,21%"
"03.11.2024","1.090,76","1.116,82","1.127,93","1.061,57","","-2,37%"
"27.10.2024","1.117,19","1.160,55","1.174,21","1.116,10","","-4,09%"
"20.10.2024","1.164,79","1.205,61","1.232,30","1.159,41","","-3,07%"
"13.10.2024","1.201,68","1.115,00","1.205,34","1.110,65","","7,87%"
"06.10.2024","1.114,05","1.104,10","1.125,41","1.066,83","","0,64%"
"29.09.2024","1.106,96","1.132,94","1.137,59","1.099,47","","-2,33%"
"22.09.2024","1.133,35","1.126,66","1.169,23","1.124,62","","0,63%"
"15.09.2024","1.126,28","1.114,52","1.137,68","1.091,28","","1,05%"
"08.09.2024","1.114,58","1.016,39","1.120,31","1.011,85","","9,58%"
"01.09.2024","1.017,14","1.081,94","1.081,96","1.014,33","","-5,99%"
"25.08.2024","1.081,97","1.098,35","1.107,80","1.069,09","","-1,46%"
"18.08.2024","1.098,04","1.071,12","1.115,29","1.071,11","","2,58%"
"11.08.2024","1.070,40","1.001,56","1.134,36","1.001,55","","6,84%"
"04.08.2024","1.001,83","1.025,58","1.025,59","957,43","","-2,35%"
"28.07.2024","1.025,92","1.019,11","1.068,51","1.013,34","","0,68%"
"21.07.2024","1.019,00","1.049,95","1.071,88","1.008,20","","-2,93%"
"14.07.2024","1.049,76","1.069,28","1.101,89","1.033,80","","-1,87%"
"07.07.2024","1.069,73","1.011,81","1.072,41","996,86","","5,74%"
"30.06.2024","1.011,69","954,12","1.017,31","944,44","","6,04%"
"23.06.2024","954,10","956,10","968,09","938,26","","-0,21%"
"16.06.2024","956,11","932,54","968,83","921,83","","2,55%"
"09.06.2024","932,36","951,53","969,77","923,89","","-2,05%"
"02.06.2024","951,84","991,83","1.005,44","914,57","","-4,02%"
"26.05.2024","991,71","989,76","1.014,14","983,32","","0,27%"
"19.05.2024","989,08","1.027,65","1.048,84","976,29","","-3,74%"
"12.05.2024","1.027,46","989,55","1.027,58","976,23","","3,83%"
"05.05.2024","989,58","939,37","1.005,03","937,67","","5,34%"
"28.04.2024","939,39","970,51","979,83","929,55","","-3,17%"
"21.04.2024","970,19","954,83","978,13","905,45","","1,61%"
"14.04.2024","954,83","953,59","958,25","914,64","","0,14%"
"07.04.2024","953,45","946,82","996,65","934,82","","0,71%"
"31.03.2024","946,76","883,83","949,56","883,25","","7,14%"
"24.03.2024","883,65","830,07","886,10","829,69","","6,37%"
"17.03.2024","830,75","839,15","863,65","813,01","","-1,04%"
"10.03.2024","839,46","831,20","852,06","822,73","","0,79%"
"03.03.2024","832,85","767,81","839,87","767,38","","9,16%"
"25.02.2024","762,97","749,58","765,10","722,48","","1,98%"
"18.02.2024","748,18","756,75","766,15","732,48","","-1,19%"
"11.02.2024","757,21","760,59","770,06","724,17","","-0,46%"
"04.02.2024","760,71","789,02","789,67","756,33","","-4,12%"
"28.01.2024","793,41","787,76","817,94","785,38","","0,41%"
"21.01.2024","790,14","778,63","811,87","767,54","","1,59%"
"14.01.2024","777,78","833,18","833,30","770,69","","-6,81%"
"07.01.2024","834,62","838,21","846,15","807,00","","-0,40%"
