"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","10.363,83","9.967,47","10.389,80","9.958,05","3,07B","3,98%"
"22.03.2026","9.967,35","9.918,48","10.118,15","9.670,46","5,56B","0,49%"
"15.03.2026","9.918,33","10.261,10","10.447,70","9.915,70","6,35B","-3,34%"
"08.03.2026","10.261,15","10.284,96","10.447,53","10.081,98","5,19B","-0,23%"
"01.03.2026","10.284,75","10.910,98","10.910,98","10.234,52","5,80B","-5,74%"
"22.02.2026","10.910,55","10.686,75","10.934,94","10.645,82","5,29B","2,09%"
"15.02.2026","10.686,89","10.446,25","10.745,76","10.446,25","4,16B","2,30%"
"08.02.2026","10.446,35","10.369,83","10.535,76","10.315,99","5,32B","0,74%"
"01.02.2026","10.369,75","10.223,72","10.481,54","10.145,36","4,74B","1,43%"
"25.01.2026","10.223,54","10.143,14","10.277,72","10.125,28","3,78B","0,79%"
"18.01.2026","10.143,44","10.235,31","10.235,31","10.050,22","3,75B","-0,90%"
"11.01.2026","10.235,29","10.124,47","10.257,75","10.089,93","4,27B","1,09%"
"04.01.2026","10.124,60","9.951,45","10.158,41","9.951,45","3,59B","1,74%"
"28.12.2025","9.951,14","9.870,69","10.046,25","9.858,46","1,49B","0,82%"
"21.12.2025","9.870,68","9.897,39","9.901,48","9.829,38","1,16B","-0,27%"
"14.12.2025","9.897,42","9.649,00","9.903,13","9.649,00","4,57B","2,57%"
"07.12.2025","9.649,03","9.667,05","9.761,47","9.622,74","3,72B","-0,19%"
"30.11.2025","9.667,01","9.720,55","9.744,82","9.667,01","3,66B","-0,55%"
"23.11.2025","9.720,51","9.539,72","9.740,24","9.521,45","4,72B","1,90%"
"16.11.2025","9.539,71","9.698,35","9.707,67","9.423,90","4,07B","-1,64%"
"09.11.2025","9.698,37","9.682,57","9.930,09","9.610,45","3,60B","0,16%"
"02.11.2025","9.682,57","9.717,26","9.786,80","9.574,15","4,40B","-0,36%"
"26.10.2025","9.717,25","9.645,59","9.787,63","9.632,83","3,62B","0,74%"
"19.10.2025","9.645,62","9.354,54","9.645,62","9.354,54","3,78B","3,11%"
"12.10.2025","9.354,57","9.427,46","9.474,31","9.276,91","3,35B","-0,77%"
"05.10.2025","9.427,47","9.491,22","9.577,08","9.414,59","3,65B","-0,67%"
"28.09.2025","9.491,25","9.284,82","9.494,64","9.266,29","3,37B","2,22%"
"21.09.2025","9.284,83","9.216,67","9.292,11","9.177,09","3,25B","0,74%"
"14.09.2025","9.216,67","9.283,29","9.314,42","9.195,66","4,94B","-0,72%"
"07.09.2025","9.283,29","9.208,21","9.340,70","9.190,55","3,50B","0,82%"
"31.08.2025","9.208,21","9.187,34","9.253,53","9.107,40","2,85B","0,23%"
"24.08.2025","9.187,34","9.321,40","9.325,94","9.179,18","3,14B","-1,44%"
"17.08.2025","9.321,40","9.138,90","9.357,51","9.126,88","3,24B","2,00%"
"10.08.2025","9.138,90","9.095,73","9.222,07","9.093,18","3,05B","0,47%"
"03.08.2025","9.095,73","9.068,58","9.184,19","9.068,07","4,71B","0,30%"
"27.07.2025","9.068,58","9.120,31","9.190,73","9.027,94","3,70B","-0,57%"
"20.07.2025","9.120,31","8.992,12","9.158,21","8.975,22","3,95B","1,43%"
"13.07.2025","8.992,12","8.941,12","9.016,98","8.926,55","3,05B","0,57%"
"06.07.2025","8.941,12","8.822,91","8.984,14","8.798,66","3,39B","1,34%"
"29.06.2025","8.822,91","8.798,91","8.837,75","8.726,92","3,59B","0,27%"
"22.06.2025","8.798,91","8.774,65","8.831,90","8.707,65","3,80B","0,28%"
"15.06.2025","8.774,65","8.850,63","8.902,40","8.772,32","4,64B","-0,86%"
"08.06.2025","8.850,63","8.837,91","8.898,63","8.812,06","3,46B","0,14%"
"01.06.2025","8.837,91","8.772,38","8.851,38","8.730,64","3,48B","0,75%"
"25.05.2025","8.772,38","8.717,97","8.824,00","8.709,11","4,35B","0,62%"
"18.05.2025","8.717,97","8.684,56","8.798,46","8.604,80","4,61B","0,38%"
"11.05.2025","8.684,56","8.554,80","8.697,00","8.531,06","4,52B","1,52%"
"04.05.2025","8.554,80","8.596,35","8.641,68","8.514,04","3,82B","-0,48%"
"27.04.2025","8.596,35","8.415,25","8.622,14","8.404,10","4,37B","2,15%"
"20.04.2025","8.415,25","8.275,66","8.467,79","8.262,49","3,88B","1,69%"
"13.04.2025","8.275,66","7.964,18","8.295,07","7.964,18","3,08B","3,91%"
"06.04.2025","7.964,18","8.054,98","8.166,53","7.544,83","7,28B","-1,13%"
"30.03.2025","8.054,98","8.658,85","8.671,91","8.023,45","5,17B","-6,97%"
"23.03.2025","8.658,85","8.646,79","8.717,03","8.611,42","3,79B","0,14%"
"16.03.2025","8.646,79","8.632,33","8.742,75","8.615,96","5,58B","0,17%"
"09.03.2025","8.632,33","8.679,88","8.700,79","8.481,11","5,05B","-0,55%"
"02.03.2025","8.679,88","8.809,74","8.908,82","8.627,30","5,47B","-1,47%"
"23.02.2025","8.809,74","8.659,37","8.810,50","8.614,08","6,04B","1,74%"
"16.02.2025","8.659,37","8.732,46","8.787,66","8.638,63","4,32B","-0,84%"
"09.02.2025","8.732,46","8.700,53","8.820,93","8.694,55","4,29B","0,37%"
"02.02.2025","8.700,53","8.673,96","8.767,50","8.520,20","4,55B","0,31%"
"26.01.2025","8.673,96","8.502,35","8.692,84","8.462,18","3,93B","2,02%"
"19.01.2025","8.502,35","8.505,22","8.586,68","8.492,73","4,20B","-0,03%"
"12.01.2025","8.505,22","8.248,49","8.533,43","8.192,31","4,68B","3,11%"
"05.01.2025","8.248,49","8.223,98","8.326,32","8.189,50","4,14B","0,30%"
"29.12.2024","8.223,98","8.149,78","8.270,60","8.094,88","1,65B","0,91%"
"22.12.2024","8.149,78","8.084,61","8.152,01","8.051,92","1,14B","0,81%"
"15.12.2024","8.084,61","8.300,33","8.305,21","8.002,34","4,96B","-2,60%"
"08.12.2024","8.300,33","8.308,61","8.372,05","8.248,42","3,83B","-0,10%"
"01.12.2024","8.308,61","8.287,30","8.388,37","8.274,66","4,12B","0,26%"
"24.11.2024","8.287,30","8.262,08","8.307,27","8.237,70","4,45B","0,31%"
"17.11.2024","8.262,08","8.063,61","8.274,84","8.052,02","3,85B","2,46%"
"10.11.2024","8.063,61","8.072,39","8.148,18","7.995,87","3,98B","-0,11%"
"03.11.2024","8.072,39","8.177,15","8.301,78","8.060,94","4,56B","-1,28%"
"27.10.2024","8.177,15","8.248,84","8.325,54","8.071,72","5,03B","-0,87%"
