"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","5.447,52","5.447,52","5.447,52","5.447,52","","0,70%"
"22.03.2026","5.409,60","5.213,43","5.474,87","5.213,43","","5,32%"
"15.03.2026","5.136,55","5.955,25","5.969,59","5.136,55","","-13,12%"
"08.03.2026","5.912,57","6.430,65","6.556,66","5.912,57","","-7,41%"
"01.03.2026","6.385,82","7.291,41","7.291,41","6.385,82","","-12,53%"
"22.02.2026","7.300,92","6.954,94","7.300,92","6.954,94","","9,19%"
"15.02.2026","6.686,60","6.625,04","6.686,60","6.409,26","","1,06%"
"08.02.2026","6.616,62","6.476,25","6.685,76","6.424,50","","7,10%"
"01.02.2026","6.177,99","5.987,67","6.322,17","5.919,04","","1,14%"
"25.01.2026","6.108,25","6.833,14","7.038,76","6.108,25","","-8,49%"
"18.01.2026","6.674,74","6.280,17","6.674,74","6.280,17","","8,69%"
"11.01.2026","6.141,14","6.096,75","6.185,23","6.096,75","","4,41%"
"04.01.2026","5.881,97","5.630,41","5.881,97","5.630,41","","7,57%"
"28.12.2025","5.467,84","5.511,01","5.547,15","5.467,84","","-4,87%"
"21.12.2025","5.747,68","5.744,31","5.747,68","5.731,67","","3,86%"
"14.12.2025","5.534,29","5.413,92","5.534,29","5.372,85","","2,02%"
"07.12.2025","5.424,80","5.078,90","5.424,80","5.078,90","","4,41%"
"30.11.2025","5.195,48","5.306,39","5.306,39","5.170,46","","-1,78%"
"23.11.2025","5.289,58","4.959,65","5.289,58","4.959,65","","11,72%"
"16.11.2025","4.734,50","4.912,26","4.969,23","4.734,50","","-4,68%"
"09.11.2025","4.967,06","4.853,39","5.102,42","4.853,39","","7,65%"
"02.11.2025","4.614,22","4.578,55","4.614,22","4.399,47","","0,24%"
"26.10.2025","4.603,32","4.458,47","4.627,13","4.458,47","","-1,47%"
"19.10.2025","4.672,08","5.131,47","5.131,47","4.641,56","","-6,84%"
"12.10.2025","5.015,18","4.865,87","5.345,36","4.865,87","","5,58%"
"05.10.2025","4.750,24","4.941,18","4.965,97","4.750,24","","-2,21%"
"28.09.2025","4.857,42","4.749,53","4.857,42","4.749,53","","3,07%"
"21.09.2025","4.712,58","4.699,97","4.737,24","4.629,85","","9,04%"
"14.09.2025","4.321,69","4.386,26","4.386,26","4.321,69","","-1,29%"
"07.09.2025","4.378,17","4.227,71","4.378,17","4.227,71","","4,84%"
"31.08.2025","4.175,92","3.996,88","4.175,92","3.996,88","","5,75%"
"24.08.2025","3.948,88","3.802,46","3.948,88","3.802,46","","4,63%"
"17.08.2025","3.773,97","3.662,40","3.773,97","3.586,75","","2,72%"
"10.08.2025","3.673,88","3.636,84","3.673,88","3.636,84","","0,24%"
"03.08.2025","3.665,09","3.351,84","3.665,09","3.351,84","","12,66%"
"27.07.2025","3.253,15","3.264,92","3.296,52","3.205,04","","-2,35%"
"20.07.2025","3.331,31","3.264,70","3.352,55","3.264,70","","5,33%"
"13.07.2025","3.162,60","3.236,37","3.236,37","3.152,55","","-1,71%"
"06.07.2025","3.217,70","3.265,51","3.265,51","3.141,25","","-1,32%"
"29.06.2025","3.260,67","3.188,62","3.260,67","3.188,62","","4,81%"
"22.06.2025","3.110,89","3.281,28","3.281,28","3.110,89","","-4,22%"
"15.06.2025","3.248,12","3.324,74","3.324,74","3.248,12","","-3,36%"
"08.06.2025","3.360,91","3.191,50","3.360,91","3.150,26","","6,11%"
"01.06.2025","3.167,35","3.264,23","3.264,23","3.167,35","","2,95%"
"25.05.2025","3.076,45","3.102,79","3.102,79","3.066,77","","-0,53%"
"18.05.2025","3.092,79","2.871,53","3.092,79","2.871,53","","9,40%"
"11.05.2025","2.826,97","2.860,81","2.860,81","2.780,53","","-8,56%"
"04.05.2025","3.091,48","2.982,40","3.097,62","2.982,40","","6,53%"
"27.04.2025","2.901,93","3.026,78","3.026,78","2.901,93","","-3,57%"
"20.04.2025","3.009,25","3.188,04","3.188,04","3.009,25","","-4,62%"
"13.04.2025","3.155,06","3.101,92","3.213,87","3.101,92","","2,25%"
"06.04.2025","3.085,73","2.559,15","3.085,73","2.559,15","","20,32%"
"30.03.2025","2.564,59","2.783,11","2.805,04","2.564,59","","-7,70%"
"23.03.2025","2.778,59","2.684,30","2.778,59","2.684,30","","2,66%"
"16.03.2025","2.706,57","2.686,48","2.738,50","2.686,48","","2,89%"
"09.03.2025","2.630,43","2.464,38","2.630,43","2.464,38","","4,07%"
"02.03.2025","2.527,58","2.430,02","2.527,58","2.424,35","","4,98%"
"23.02.2025","2.407,61","2.503,11","2.503,11","2.407,61","","-4,14%"
"16.02.2025","2.511,63","2.515,06","2.596,81","2.511,63","","-1,30%"
"09.02.2025","2.544,75","2.569,36","2.597,30","2.542,09","","1,58%"
"02.02.2025","2.505,07","2.416,18","2.516,70","2.416,18","","5,02%"
"26.01.2025","2.385,40","2.293,88","2.400,80","2.293,29","0,00K","2,58%"
"19.01.2025","2.325,41","2.257,87","2.325,41","2.257,87","0,01K","3,42%"
"12.01.2025","2.248,52","2.154,11","2.248,52","2.154,11","0,01K","2,88%"
"05.01.2025","2.185,61","2.082,41","2.199,20","2.082,41","0,01K","3,55%"
"29.12.2024","2.110,70","2.026,35","2.119,92","2.026,35","0,00K","2,39%"
"22.12.2024","2.061,45","2.062,14","2.069,02","2.061,20","0,00K","-0,24%"
"15.12.2024","2.066,50","2.175,67","2.175,67","2.036,61","0,01K","-5,98%"
"08.12.2024","2.197,87","2.259,45","2.317,35","2.197,87","0,01K","-0,32%"
"01.12.2024","2.204,85","2.196,26","2.254,35","2.196,26","0,01K","-1,98%"
"24.11.2024","2.249,42","2.243,26","2.249,42","2.243,26","0,01K","-2,75%"
"17.11.2024","2.312,98","2.200,10","2.312,98","2.200,10","0,01K","9,07%"
"10.11.2024","2.120,71","2.207,20","2.207,20","2.120,71","","-9,59%"
"03.11.2024","2.345,60","2.393,01","2.399,49","2.325,41","","-2,19%"
"27.10.2024","2.398,02","2.484,98","2.513,60","2.398,02","","-4,46%"
"20.10.2024","2.510,04","2.655,05","2.693,75","2.510,04","","-4,75%"
"13.10.2024","2.635,17","2.454,17","2.635,17","2.454,17","","7,77%"
"06.10.2024","2.445,23","2.395,62","2.445,23","2.375,44","","0,83%"
"29.09.2024","2.424,99","2.446,27","2.479,19","2.424,99","","-2,68%"
"22.09.2024","2.491,74","2.499,01","2.553,41","2.491,74","","0,26%"
"15.09.2024","2.485,19","2.458,59","2.485,19","2.430,80","","0,58%"
"08.09.2024","2.470,75","2.272,44","2.470,75","2.272,44","","9,13%"
"01.09.2024","2.264,14","2.387,34","2.387,34","2.264,14","","-5,68%"
"25.08.2024","2.400,45","2.421,56","2.421,56","2.373,82","","-0,92%"
"18.08.2024","2.422,85","2.408,12","2.448,58","2.408,12","","3,00%"
"11.08.2024","2.352,32","2.258,10","2.352,32","2.258,10","","7,47%"
"04.08.2024","2.188,89","2.197,96","2.197,96","2.143,01","","-1,94%"
"28.07.2024","2.232,29","2.206,13","2.288,53","2.206,13","","2,00%"
"21.07.2024","2.188,42","2.239,51","2.256,88","2.169,03","","-2,52%"
"14.07.2024","2.244,90","2.265,42","2.321,66","2.244,90","","-1,25%"
"07.07.2024","2.273,27","2.138,04","2.273,27","2.138,04","","6,43%"
"30.06.2024","2.135,89","2.008,44","2.135,89","2.007,66","","5,85%"
"23.06.2024","2.017,84","2.021,48","2.027,82","2.001,48","","0,25%"
"16.06.2024","2.012,80","1.943,13","2.030,86","1.943,13","","3,60%"
"09.06.2024","1.942,89","2.005,82","2.005,82","1.942,89","","-2,02%"
"02.06.2024","1.983,03","2.076,89","2.085,23","1.983,03","","-4,06%"
"26.05.2024","2.066,99","2.105,16","2.105,16","2.065,25","","0,09%"
"19.05.2024","2.065,13","2.169,60","2.169,60","2.045,04","","-3,60%"
"12.05.2024","2.142,14","2.062,06","2.142,14","2.062,06","","3,17%"
"05.05.2024","2.076,39","2.010,20","2.076,39","2.008,82","","5,37%"
"28.04.2024","1.970,58","2.067,71","2.067,71","1.970,58","","-3,68%"
"21.04.2024","2.045,86","1.923,70","2.045,86","1.923,70","","2,16%"
"14.04.2024","2.002,61","1.982,71","2.002,61","1.944,72","","-1,05%"
"07.04.2024","2.023,77","1.994,80","2.023,77","1.994,79","","1,41%"
"31.03.2024","1.995,65","1.887,67","1.995,65","1.887,67","","6,89%"
"24.03.2024","1.867,09","1.760,36","1.867,09","1.760,36","","6,99%"
"17.03.2024","1.745,17","1.741,33","1.761,70","1.708,89","","-0,49%"
"10.03.2024","1.753,82","1.782,55","1.782,55","1.745,14","","-0,02%"
"03.03.2024","1.754,24","1.676,69","1.754,24","1.676,69","","9,81%"
"25.02.2024","1.597,47","1.541,62","1.597,47","1.518,32","","2,09%"
"18.02.2024","1.564,83","1.596,83","1.606,05","1.544,62","","-1,82%"
"11.02.2024","1.593,79","1.611,94","1.611,94","1.533,49","","-0,24%"
"04.02.2024","1.597,64","1.632,87","1.639,71","1.597,64","","-4,86%"
"28.01.2024","1.679,29","1.678,71","1.723,68","1.678,71","","0,40%"
"21.01.2024","1.672,68","1.645,84","1.675,25","1.645,84","","1,97%"
"14.01.2024","1.640,44","1.780,16","1.780,16","1.637,21","","-8,13%"
"07.01.2024","1.785,52","1.801,00","1.801,00","1.739,99","","-1,37%"
"31.12.2023","1.810,34","1.875,30","1.875,30","1.808,51","","-5,15%"
"24.12.2023","1.908,73","1.932,74","1.958,20","1.908,73","","-1,22%"
"17.12.2023","1.932,22","1.878,88","1.932,22","1.878,88","","2,20%"
"10.12.2023","1.890,67","1.767,51","1.890,67","1.733,25","","5,96%"
