"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","394,00","357,81","396,18","345,38","","11,55%"
"22.03.2026","353,20","331,49","358,19","331,07","","7,59%"
"15.03.2026","328,28","385,11","395,00","324,05","","-14,50%"
"08.03.2026","383,94","406,04","432,30","381,89","","-7,12%"
"01.03.2026","413,39","468,74","472,08","400,91","","-12,11%"
"22.02.2026","470,37","434,88","471,47","432,70","","8,97%"
"15.02.2026","431,67","412,21","432,41","393,39","","2,83%"
"08.02.2026","419,80","396,13","429,03","396,00","","7,11%"
"01.02.2026","391,95","382,66","407,30","372,01","","2,52%"
"25.01.2026","382,33","443,15","458,90","378,77","","-12,00%"
"18.01.2026","434,46","404,14","436,50","404,10","","9,99%"
"11.01.2026","395,01","379,89","398,02","379,75","","5,47%"
"04.01.2026","374,53","347,25","377,03","346,85","","9,32%"
"28.12.2025","342,59","354,41","354,61","332,93","","-5,68%"
"21.12.2025","363,21","354,35","364,60","352,94","","4,43%"
"14.12.2025","347,80","341,84","351,49","331,43","","2,98%"
"07.12.2025","337,73","319,38","349,24","310,98","","6,05%"
"30.11.2025","318,46","326,91","328,71","310,65","","-1,89%"
"23.11.2025","324,59","285,48","324,93","285,40","","14,24%"
"16.11.2025","284,12","293,18","303,45","279,27","","-3,50%"
"09.11.2025","294,43","283,50","308,26","283,42","","5,71%"
"02.11.2025","278,53","279,83","281,32","264,80","","-0,41%"
"26.10.2025","279,67","280,17","285,10","267,33","","-2,07%"
"19.10.2025","285,59","309,56","315,48","278,33","","-6,67%"
"12.10.2025","306,01","300,85","331,96","300,78","","3,55%"
"05.10.2025","295,53","302,66","311,27","292,93","","-1,47%"
"28.09.2025","299,93","295,75","303,64","288,88","","2,99%"
"21.09.2025","291,23","287,66","296,47","281,64","","2,65%"
"14.09.2025","283,70","272,66","284,10","265,06","","3,92%"
"07.09.2025","272,99","263,82","275,80","261,81","","4,59%"
"31.08.2025","261,02","252,37","262,70","247,66","","4,79%"
"24.08.2025","249,08","239,93","249,56","238,97","","4,12%"
"17.08.2025","239,23","232,20","240,84","225,09","","3,37%"
"10.08.2025","231,43","225,35","233,80","223,12","","0,49%"
"03.08.2025","230,30","208,49","232,50","208,49","","11,53%"
"27.07.2025","206,50","211,85","212,02","202,83","","-3,41%"
"20.07.2025","213,80","207,56","218,32","207,51","","4,43%"
"13.07.2025","204,73","211,24","213,96","202,63","","-2,99%"
"06.07.2025","211,05","208,89","213,07","201,53","","0,18%"
"29.06.2025","210,68","202,02","210,81","200,91","","4,92%"
"22.06.2025","200,81","205,00","210,59","199,43","","-2,02%"
"15.06.2025","204,94","208,53","211,24","204,69","","-2,78%"
"08.06.2025","210,81","203,56","211,75","200,96","","3,67%"
"01.06.2025","203,34","196,07","213,13","195,87","","5,79%"
"25.05.2025","192,22","190,30","193,88","189,24","","0,06%"
"18.05.2025","192,10","180,39","192,65","179,06","","7,70%"
"11.05.2025","178,36","184,07","186,07","173,79","","-7,35%"
"04.05.2025","192,50","182,76","192,50","181,63","","7,31%"
"27.04.2025","179,38","185,11","187,85","178,14","","-3,56%"
"20.04.2025","186,00","195,52","197,65","182,13","","-2,87%"
"13.04.2025","191,49","185,77","199,41","183,84","","1,85%"
"06.04.2025","188,01","154,01","189,65","151,96","","19,17%"
"30.03.2025","157,76","177,00","178,45","156,69","","-10,69%"
"23.03.2025","176,64","174,44","182,28","174,07","","1,39%"
"16.03.2025","174,22","170,22","177,89","170,22","","2,86%"
"09.03.2025","169,38","160,33","170,36","154,87","","4,82%"
"02.03.2025","161,59","157,85","164,85","152,48","","4,04%"
