"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","6.601,01","6.403,37","6.609,60","6.316,91","","3,65%"
"22.03.2026","6.368,85","6.574,96","6.651,62","6.356,08","","-2,12%"
"15.03.2026","6.506,48","6.674,37","6.754,30","6.473,52","","-1,90%"
"08.03.2026","6.632,19","6.699,80","6.845,08","6.623,92","","-1,60%"
"01.03.2026","6.740,02","6.824,36","6.901,01","6.710,42","","-2,02%"
"22.02.2026","6.878,88","6.901,25","6.952,51","6.815,43","","-0,44%"
"15.02.2026","6.909,51","6.819,86","6.915,86","6.775,50","","1,07%"
"08.02.2026","6.836,17","6.917,26","6.993,48","6.794,55","","-1,39%"
"01.02.2026","6.932,30","6.916,64","6.993,08","6.780,13","","-0,10%"
"25.01.2026","6.939,03","6.923,23","7.002,28","6.870,80","","0,34%"
"18.01.2026","6.915,61","6.865,24","6.934,75","6.789,05","","-0,35%"
"11.01.2026","6.940,01","6.944,12","6.986,33","6.885,74","","-0,38%"
"04.01.2026","6.966,28","6.892,19","6.978,36","6.891,56","","1,57%"
"28.12.2025","6.858,47","6.903,60","6.920,21","6.824,31","","-1,03%"
"21.12.2025","6.929,94","6.865,21","6.945,77","6.855,74","","1,40%"
"14.12.2025","6.834,50","6.860,19","6.861,59","6.720,43","","0,10%"
"07.12.2025","6.827,41","6.875,20","6.903,46","6.801,79","","-0,63%"
"30.11.2025","6.870,40","6.812,30","6.895,78","6.799,94","","0,31%"
"23.11.2025","6.849,09","6.636,54","6.850,86","6.630,70","","3,73%"
"16.11.2025","6.602,99","6.713,61","6.770,35","6.521,92","","-1,95%"
"09.11.2025","6.734,11","6.785,36","6.869,91","6.646,87","","0,08%"
"02.11.2025","6.728,80","6.882,32","6.882,32","6.631,44","","-1,63%"
"26.10.2025","6.840,20","6.845,46","6.920,34","6.814,26","","0,71%"
"19.10.2025","6.791,69","6.690,05","6.807,11","6.655,69","","1,92%"
"12.10.2025","6.664,01","6.622,53","6.724,12","6.555,07","","1,70%"
"05.10.2025","6.552,51","6.733,86","6.764,58","6.550,78","","-2,43%"
"28.09.2025","6.715,79","6.661,58","6.750,87","6.641,00","","1,09%"
"21.09.2025","6.643,70","6.654,28","6.699,52","6.569,22","","-0,31%"
"14.09.2025","6.664,36","6.603,49","6.671,82","6.551,15","","1,22%"
"07.09.2025","6.584,29","6.498,09","6.600,21","6.483,08","","1,59%"
"31.08.2025","6.481,50","6.401,51","6.532,65","6.360,58","","0,33%"
"24.08.2025","6.460,26","6.457,67","6.508,23","6.429,21","","-0,10%"
"17.08.2025","6.466,91","6.445,02","6.478,89","6.343,86","","0,27%"
"10.08.2025","6.449,80","6.389,67","6.481,34","6.364,06","","0,94%"
"03.08.2025","6.389,45","6.271,71","6.395,16","6.271,71","","2,43%"
"27.07.2025","6.238,01","6.397,69","6.427,02","6.212,69","","-2,36%"
"20.07.2025","6.388,64","6.304,74","6.395,82","6.281,71","","1,46%"
"13.07.2025","6.296,79","6.255,15","6.315,61","6.201,59","","0,59%"
"06.07.2025","6.259,75","6.259,04","6.290,22","6.201,00","","-0,31%"
"29.06.2025","6.279,35","6.193,36","6.284,65","6.174,97","","1,72%"
"22.06.2025","6.173,07","5.969,67","6.187,68","5.943,23","","3,44%"
"15.06.2025","5.967,84","6.004,00","6.050,83","5.952,56","","-0,15%"
"08.06.2025","5.976,97","6.004,63","6.059,40","5.963,21","","-0,39%"
"01.06.2025","6.000,36","5.896,68","6.016,87","5.861,43","","1,50%"
"25.05.2025","5.911,69","5.854,07","5.943,13","5.843,66","","1,88%"
"18.05.2025","5.802,82","5.902,88","5.968,61","5.767,41","","-2,61%"
"11.05.2025","5.958,38","5.807,20","5.958,62","5.786,08","","5,27%"
