"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","4.780,09","4.493,00","4.792,96","4.419,81","","6,39%"
"22.03.2026","4.492,99","4.491,66","4.602,64","4.098,87","","0,04%"
"15.03.2026","4.491,15","5.019,26","5.044,84","4.477,82","","-10,52%"
"08.03.2026","5.019,25","5.180,45","5.238,70","5.009,51","","-2,94%"
"01.03.2026","5.171,12","5.376,69","5.419,25","4.996,19","","-2,02%"
"22.02.2026","5.277,90","5.102,84","5.279,56","5.094,50","","3,40%"
"15.02.2026","5.104,34","5.040,75","5.105,45","4.842,50","","1,21%"
"08.02.2026","5.043,11","4.960,97","5.119,24","4.879,05","","1,65%"
"01.02.2026","4.961,15","4.799,72","5.092,68","4.404,12","","1,97%"
"25.01.2026","4.865,35","5.007,11","5.595,46","4.681,94","","-2,36%"
"18.01.2026","4.982,91","4.630,80","4.989,93","4.629,80","","8,44%"
"11.01.2026","4.595,10","4.519,45","4.643,06","4.513,57","","1,88%"
"04.01.2026","4.510,45","4.356,12","4.517,40","4.345,88","","4,16%"
"28.12.2025","4.330,50","4.540,70","4.550,10","4.274,51","","-4,46%"
"21.12.2025","4.532,63","4.338,98","4.550,11","4.337,90","","4,47%"
"14.12.2025","4.338,55","4.299,00","4.374,69","4.271,34","","0,84%"
"07.12.2025","4.302,43","4.197,19","4.353,72","4.170,00","","2,51%"
"30.11.2025","4.197,13","4.223,93","4.264,74","4.163,01","","-0,79%"
"23.11.2025","4.230,63","4.066,47","4.231,51","4.040,03","","4,05%"
"16.11.2025","4.065,90","4.082,02","4.133,04","3.997,99","","-0,34%"
"09.11.2025","4.079,58","3.999,94","4.245,20","3.997,87","","2,00%"
"02.11.2025","3.999,72","4.002,28","4.030,70","3.928,66","","-0,06%"
"26.10.2025","4.002,28","4.065,35","4.109,33","3.886,49","","-2,67%"
"19.10.2025","4.112,10","4.251,82","4.381,60","4.004,69","","-3,24%"
"12.10.2025","4.249,98","4.018,79","4.379,44","4.008,80","","5,77%"
"05.10.2025","4.018,30","3.888,45","4.059,34","3.883,93","","3,38%"
"28.09.2025","3.886,83","3.758,59","3.897,20","3.757,62","","3,37%"
"21.09.2025","3.760,24","3.686,80","3.791,11","3.683,62","","2,04%"
"14.09.2025","3.684,98","3.644,40","3.707,70","3.626,60","","1,15%"
"07.09.2025","3.643,13","3.586,82","3.674,75","3.579,67","","1,57%"
"31.08.2025","3.586,81","3.448,00","3.600,33","3.436,80","","4,03%"
"24.08.2025","3.448,00","3.371,23","3.454,08","3.351,26","","2,25%"
"17.08.2025","3.372,11","3.338,00","3.379,01","3.311,46","","1,10%"
"10.08.2025","3.335,39","3.398,50","3.405,10","3.329,85","","-1,87%"
"03.08.2025","3.398,78","3.365,10","3.408,83","3.345,00","","1,07%"
"27.07.2025","3.362,88","3.335,00","3.363,55","3.268,15","","0,77%"
"20.07.2025","3.337,18","3.348,62","3.439,09","3.325,05","","-0,39%"
"13.07.2025","3.350,40","3.355,91","3.377,50","3.309,90","","-0,16%"
"06.07.2025","3.355,91","3.335,95","3.368,89","3.282,80","","0,58%"
"29.06.2025","3.336,64","3.272,65","3.365,81","3.247,86","","1,91%"
"22.06.2025","3.274,25","3.367,17","3.399,25","3.255,72","","-2,79%"
"15.06.2025","3.368,23","3.431,54","3.451,62","3.340,38","","-1,88%"
"08.06.2025","3.432,64","3.311,51","3.447,02","3.293,70","","3,70%"
"01.06.2025","3.310,17","3.289,80","3.403,55","3.289,41","","0,63%"
"25.05.2025","3.289,40","3.354,30","3.357,03","3.245,55","","-2,03%"
"18.05.2025","3.357,42","3.214,60","3.366,39","3.204,40","","4,83%"
"11.05.2025","3.202,77","3.324,98","3.325,42","3.120,52","","-3,67%"
"04.05.2025","3.324,63","3.240,00","3.438,59","3.237,81","","2,58%"
"27.04.2025","3.240,88","3.328,40","3.353,33","3.202,09","","-2,37%"
"20.04.2025","3.319,45","3.334,41","3.500,33","3.260,50","","-0,25%"
"13.04.2025","3.327,80","3.237,35","3.358,00","3.193,41","","2,79%"
"06.04.2025","3.237,35","3.038,02","3.245,69","2.956,60","","6,58%"
"30.03.2025","3.037,36","3.086,54","3.168,04","3.015,64","","-1,51%"
"23.03.2025","3.084,03","3.023,03","3.086,93","3.002,34","","2,00%"
"16.03.2025","3.023,63","2.985,80","3.057,51","2.982,13","","1,31%"
"09.03.2025","2.984,42","2.912,17","3.005,08","2.880,30","","2,53%"
"02.03.2025","2.910,79","2.856,71","2.930,56","2.855,63","","1,83%"
"23.02.2025","2.858,60","2.936,41","2.956,37","2.832,63","","-2,64%"
"16.02.2025","2.936,03","2.883,55","2.954,97","2.884,74","","1,83%"
"09.02.2025","2.883,18","2.864,08","2.943,25","2.854,69","","0,80%"
"02.02.2025","2.860,39","2.801,40","2.886,96","2.771,69","","2,12%"
"26.01.2025","2.801,00","2.770,70","2.817,57","2.729,80","","1,07%"
"19.01.2025","2.771,30","2.702,51","2.786,04","2.689,32","","2,58%"
"12.01.2025","2.701,55","2.689,35","2.724,86","2.656,73","","0,44%"
"05.01.2025","2.689,63","2.641,00","2.698,57","2.614,60","","1,91%"
"29.12.2024","2.639,12","2.620,30","2.665,47","2.595,90","","0,73%"
"22.12.2024","2.620,00","2.622,24","2.639,40","2.607,97","","-0,03%"
"15.12.2024","2.620,77","2.649,10","2.664,83","2.583,49","","-1,04%"
"08.12.2024","2.648,39","2.635,52","2.726,31","2.627,47","","0,59%"
"01.12.2024","2.632,91","2.653,82","2.657,36","2.613,57","","-0,78%"
"24.11.2024","2.653,55","2.715,10","2.721,43","2.605,29","","-2,18%"
"17.11.2024","2.712,55","2.561,59","2.712,91","2.561,59","","5,91%"
"10.11.2024","2.561,24","2.684,81","2.686,51","2.536,91","","-4,57%"
"03.11.2024","2.683,77","2.734,10","2.750,06","2.643,50","","-1,88%"
"27.10.2024","2.735,16","2.734,84","2.790,41","2.724,72","","-0,46%"
"20.10.2024","2.747,69","2.721,71","2.758,53","2.708,79","","1,01%"
"13.10.2024","2.720,25","2.657,21","2.722,87","2.638,31","","2,42%"
"06.10.2024","2.656,00","2.651,20","2.661,55","2.604,15","","0,14%"
"29.09.2024","2.652,25","2.658,30","2.673,20","2.624,78","","-0,22%"
"22.09.2024","2.657,97","2.621,81","2.685,96","2.613,60","","1,37%"
"15.09.2024","2.621,96","2.578,06","2.625,79","2.546,98","","1,76%"
"08.09.2024","2.576,50","2.497,32","2.586,18","2.485,60","","3,18%"
"01.09.2024","2.497,03","2.502,74","2.529,30","2.471,95","","-0,24%"
"25.08.2024","2.503,03","2.511,43","2.529,15","2.493,66","","-0,36%"
"18.08.2024","2.512,07","2.508,40","2.532,05","2.470,86","","0,19%"
"11.08.2024","2.507,28","2.431,21","2.509,89","2.423,84","","3,14%"
"04.08.2024","2.430,93","2.443,27","2.458,80","2.364,40","","-0,51%"
"28.07.2024","2.443,29","2.387,20","2.477,72","2.369,77","","2,42%"
"21.07.2024","2.385,57","2.400,41","2.432,05","2.353,19","","-0,63%"
"14.07.2024","2.400,79","2.409,50","2.483,78","2.393,92","","-0,43%"
"07.07.2024","2.411,27","2.391,77","2.424,62","2.349,59","","0,83%"
"30.06.2024","2.391,46","2.326,46","2.393,04","2.318,55","","2,83%"
"23.06.2024","2.325,71","2.321,60","2.339,79","2.293,70","","0,23%"
"16.06.2024","2.320,34","2.332,20","2.368,85","2.306,63","","-0,52%"
"09.06.2024","2.332,52","2.296,00","2.341,70","2.287,31","","1,74%"
