"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.03.2026","4.807,40","4.520,00","4.820,84","4.444,70","419,01K","6,63%"
"22.03.2026","4.508,60","4.475,00","4.616,30","4.124,40","21,43K","-1,82%"
"15.03.2026","4.592,00","5.029,40","5.066,00","4.497,90","6,38K","-9,60%"
"08.03.2026","5.079,90","5.227,50","5.265,40","5.033,40","3,75K","-1,89%"
"01.03.2026","5.177,80","5.359,50","5.452,00","5.025,70","7,40K","-2,08%"
"22.02.2026","5.287,60","5.146,30","5.338,80","5.132,30","24,18K","4,44%"
"15.02.2026","5.062,80","5.040,80","5.111,90","4.840,00","6,04K","0,67%"
"08.02.2026","5.029,00","4.986,40","5.122,60","4.886,60","10,83K","1,34%"
"01.02.2026","4.962,40","4.838,50","5.095,30","4.407,80","27,09K","4,58%"
"25.01.2026","4.745,10","5.028,40","5.626,80","4.700,40","1,10M","-5,06%"
"18.01.2026","4.998,00","4.641,50","5.008,60","4.641,50","12,65K","8,37%"
"11.01.2026","4.611,80","4.543,70","4.665,80","4.543,70","8,63K","2,10%"
"04.01.2026","4.517,10","4.390,30","4.541,30","4.372,00","8,22K","4,33%"
"28.12.2025","4.329,60","4.549,80","4.557,20","4.284,30","508,38K","-4,53%"
"21.12.2025","4.534,80","4.355,50","4.564,70","4.355,30","6,63K","3,78%"
"14.12.2025","4.369,80","4.308,90","4.391,60","4.279,60","6,60K","1,32%"
"07.12.2025","4.313,00","4.228,10","4.317,30","4.197,80","884,00K","1,65%"
"30.11.2025","4.243,00","4.258,50","4.299,60","4.194,00","747,21K","0,97%"
"23.11.2025","4.202,30","4.087,30","4.209,00","4.056,00","475,48K","2,60%"
"16.11.2025","4.095,70","4.122,70","4.169,60","4.032,80","997,17K","-2,36%"
"09.11.2025","4.194,50","4.007,20","4.250,00","4.004,20","1,21M","5,10%"
"02.11.2025","3.991,00","4.001,00","4.043,10","3.935,70","822,76K","-0,62%"
"26.10.2025","4.015,90","4.066,30","4.101,60","3.890,70","1,11M","-3,13%"
"19.10.2025","4.145,60","4.269,00","4.398,00","4.021,20","1,57M","-3,69%"
"12.10.2025","4.304,60","4.018,30","4.346,70","4.011,30","1,66M","8,36%"
"05.10.2025","3.972,60","3.913,50","4.081,00","3.909,20","1,46M","2,70%"
"28.09.2025","3.868,10","3.788,80","3.923,30","3.785,50","1,11M","2,97%"
"21.09.2025","3.756,50","3.707,50","3.808,00","3.705,00","1,00M","2,13%"
"14.09.2025","3.678,30","3.680,20","3.744,00","3.660,50","859,42K","0,13%"
"07.09.2025","3.673,60","3.635,00","3.715,20","3.621,70","813,86K","1,85%"
"31.08.2025","3.606,70","3.517,65","3.640,10","3.506,00","1,07M","3,81%"
"24.08.2025","3.474,30","3.399,70","3.478,70","3.395,00","675,25K","2,74%"
"17.08.2025","3.381,60","3.382,40","3.403,60","3.353,40","578,56K","-0,05%"
"10.08.2025","3.383,20","3.458,10","3.466,30","3.375,50","613,85K","-2,04%"
"03.08.2025","3.453,70","3.416,60","3.483,80","3.397,90","876,18K","3,14%"
"27.07.2025","3.348,60","3.373,60","3.389,30","3.319,20","704,21K","-2,40%"
"20.07.2025","3.431,10","3.415,00","3.509,00","3.407,40","902,05K","2,56%"
"13.07.2025","3.345,30","3.376,50","3.389,30","3.314,30","692,20K","0,59%"
"06.07.2025","3.325,70","3.344,50","3.355,60","3.290,20","771,07K","-0,51%"
"29.06.2025","3.342,90","3.284,30","3.376,90","3.250,50","690,04K","0,27%"
"22.06.2025","3.333,90","3.387,00","3.395,70","3.296,40","731,89K","-2,18%"
"15.06.2025","3.408,10","3.473,00","3.476,30","3.380,10","668,20K","0,17%"
"08.06.2025","3.402,40","3.333,40","3.419,80","3.313,10","861,22K","0,81%"
"01.06.2025","3.375,10","3.323,00","3.427,70","3.319,40","745,67K","0,93%"
"25.05.2025","3.343,90","3.384,00","3.384,12","3.269,10","837,78K","0,61%"
"18.05.2025","3.323,60","3.246,00","3.375,30","3.235,30","935,45K","3,01%"
"11.05.2025","3.226,60","3.281,00","3.295,50","3.123,30","946,90K","-2,40%"
"04.05.2025","3.306,00","3.247,10","3.448,20","3.243,10","1,13M","2,60%"
"27.04.2025","3.222,20","3.318,30","3.359,30","3.209,40","803,56K","-3,77%"
"20.04.2025","3.348,60","3.347,00","3.509,90","3.270,80","1,28M","0,07%"
"13.04.2025","3.346,40","3.246,00","3.358,40","3.208,70","623,92K","5,32%"
"06.04.2025","3.177,50","3.055,10","3.195,00","2.970,40","978,19K","1,79%"
"30.03.2025","3.121,70","3.118,80","3.201,60","3.073,50","1,14M","1,49%"
"23.03.2025","3.075,80","3.054,70","3.086,00","3.025,90","679,44K","0,15%"
"16.03.2025","3.071,30","3.021,20","3.092,80","3.019,50","654,20K","2,67%"
"09.03.2025","2.991,30","2.919,60","3.001,50","2.882,50","842,00K","2,21%"
"02.03.2025","2.926,60","2.872,00","2.941,30","2.866,30","775,47K","1,06%"
"23.02.2025","2.895,90","2.939,30","2.960,00","2.879,00","816,43K","-2,04%"
"16.02.2025","2.956,10","2.895,10","2.973,40","2.887,60","495,22K","0,36%"
"09.02.2025","2.945,40","2.884,80","2.968,50","2.879,90","820,68K","2,39%"
"02.02.2025","2.876,70","2.846,50","2.906,00","2.802,20","673,50K","1,11%"
"26.01.2025","2.845,20","2.791,00","2.853,20","2.746,80","651,07K","2,41%"
"19.01.2025","2.778,30","2.766,00","2.800,30","2.741,50","552,45K","1,00%"
"12.01.2025","2.750,90","2.716,80","2.757,90","2.672,00","716,55K","2,23%"
"05.01.2025","2.690,80","2.652,80","2.696,80","2.624,60","814,04K","0,82%"
"29.12.2024","2.669,00","2.636,10","2.674,20","2.608,40","207,47K","1,09%"
"22.12.2024","2.640,30","2.627,30","2.642,40","2.610,20","147,26K","1,71%"
"15.12.2024","2.596,00","2.654,60","2.669,70","2.585,90","648,54K","-3,68%"
"08.12.2024","2.695,10","2.654,50","2.743,80","2.637,50","844,65K","2,24%"
"01.12.2024","2.636,10","2.663,70","2.670,00","2.633,50","636,04K","-0,61%"
"24.11.2024","2.652,30","2.716,90","2.723,20","2.605,30","528,08K","-0,84%"
"17.11.2024","2.674,90","2.571,50","2.676,50","2.568,50","791,10K","3,96%"
"10.11.2024","2.572,90","2.692,10","2.693,40","2.541,50","991,57K","-4,91%"
"03.11.2024","2.705,80","2.743,50","2.759,50","2.650,30","1,04M","-1,58%"
"27.10.2024","2.749,30","2.739,40","2.801,80","2.725,80","822,20K","0,47%"
"20.10.2024","2.736,50","2.724,30","2.758,50","2.709,90","717,57K","1,52%"
"13.10.2024","2.695,50","2.659,90","2.700,50","2.643,10","678,22K","2,59%"
"06.10.2024","2.627,40","2.658,80","2.666,60","2.608,80","741,03K","-1,50%"
"29.09.2024","2.667,40","2.667,90","2.681,70","2.636,80","662,64K","-0,11%"
"22.09.2024","2.670,40","2.622,50","2.683,90","2.615,40","820,87K","3,07%"
"15.09.2024","2.590,90","2.584,80","2.603,70","2.549,40","804,34K","1,32%"
"08.09.2024","2.557,10","2.503,20","2.564,80","2.491,30","758,55K","1,48%"
"01.09.2024","2.519,70","2.509,00","2.530,50","2.479,80","548,78K","-0,67%"
"25.08.2024","2.536,70","2.512,60","2.538,70","2.493,20","646,95K","2,20%"
"18.08.2024","2.482,10","2.512,80","2.535,40","2.472,60","682,07K","0,96%"
"11.08.2024","2.458,60","2.436,00","2.485,40","2.430,00","735,72K","1,16%"
"04.08.2024","2.430,30","2.458,50","2.466,10","2.373,80","682,87K","-0,64%"
"28.07.2024","2.445,90","2.386,90","2.470,80","2.367,30","879,01K","3,93%"
"21.07.2024","2.353,50","2.403,70","2.433,00","2.351,90","866,50K","-4,19%"
"14.07.2024","2.456,40","2.419,30","2.488,40","2.406,10","952,80K","1,42%"
"07.07.2024","2.421,90","2.396,20","2.430,40","2.356,00","940,84K","2,22%"
"30.06.2024","2.369,40","2.336,20","2.374,50","2.327,40","640,61K","1,40%"
